PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,GWP,28day
97.301,74.215,36.153,615.992,872.284,115.775,0.879,3.281,1.533,2.095,140.69,52.0
178.797,60.038,255.369,815.354,974.949,133.608,0.0,0.743,7.273,0.001,280.22,101.13
97.301,74.215,36.153,615.992,872.284,115.775,0.879,3.281,1.533,2.095,140.69,52.0
111.148,77.155,271.906,797.068,970.549,132.173,0.0,0.796,6.77,0.062,219.24,92.91
131.588,76.9,266.025,809.846,962.459,135.403,0.017,0.707,6.728,0.0,239.02,93.1
154.386,73.263,233.256,808.448,963.491,129.678,0.039,0.72,6.516,3.264,253.07,95.37
110.697,77.155,271.906,805.238,970.594,132.173,0.0,0.796,6.77,0.064,218.78,83.84
97.301,17.728,238.622,490.795,985.549,120.013,0.282,1.008,7.82,8.204,175.7,67.58
110.143,77.259,274.405,769.694,969.863,131.68,0.059,0.746,6.671,0.966,218.8,90.23
130.217,77.472,278.068,803.979,967.466,135.359,0.007,0.729,6.746,0.0,240.96,93.53
97.301,38.331,244.447,733.002,863.165,112.02,0.006,0.998,6.513,3.557,184.18,68.69
112.319,62.885,255.686,759.171,851.297,128.131,0.075,1.015,7.824,4.196,210.96,77.65
97.301,19.537,228.068,490.359,987.0,119.067,0.29,1.011,7.589,4.264,173.52,66.01
97.301,42.272,270.52,735.515,863.452,112.115,0.0,0.999,6.538,2.891,192.36,75.39
107.208,70.506,267.033,798.284,967.384,134.011,0.026,0.784,7.279,0.056,211.63,80.65
97.301,0.972,239.698,499.119,999.729,118.07,0.25,0.994,7.824,3.54,170.57,64.21
97.301,3.008,214.648,543.252,1000.107,118.638,0.249,0.923,7.285,3.546,164.74,59.82
177.387,72.034,214.74,795.853,975.651,131.217,0.015,0.951,7.261,0.005,271.9,99.8
97.301,40.01,260.267,726.628,851.568,127.464,0.008,1.022,6.476,4.687,188.85,72.71
103.358,65.511,257.876,718.496,943.158,124.411,0.005,1.082,7.053,4.26,203.24,75.6
97.301,41.542,261.288,736.739,860.868,112.079,0.006,0.998,6.449,3.244,189.68,75.22
97.581,98.439,72.823,621.452,857.155,115.758,0.802,1.558,1.496,0.0,158.57,57.9
97.301,83.438,45.51,617.966,864.624,111.371,0.824,1.967,2.639,3.96,146.16,55.85
97.301,88.436,59.91,558.036,892.57,117.921,0.814,2.387,1.452,0.115,151.55,56.15
107.272,74.233,263.569,803.708,966.847,133.838,0.005,0.85,7.279,0.001,212.02,81.78
97.339,4.357,216.54,515.114,995.745,118.638,0.284,0.806,6.905,3.723,165.63,62.0
163.552,68.303,232.666,812.084,982.257,131.091,0.055,0.831,6.32,2.643,260.98,97.32
97.301,82.279,41.539,604.558,859.42,112.516,0.783,2.067,2.343,3.803,144.68,54.72
167.333,68.753,232.627,815.821,982.047,131.068,0.056,0.837,6.32,2.518,265.08,97.47
109.221,76.99,264.032,797.068,971.041,132.154,0.017,0.795,6.77,0.062,215.09,83.09
110.233,77.259,274.063,771.819,972.349,132.098,0.059,0.746,6.65,0.966,218.82,90.24
97.301,0.972,225.992,499.119,999.569,118.07,0.242,0.999,7.783,3.54,166.95,63.93
170.712,73.106,219.468,799.382,975.152,129.775,0.005,0.894,7.106,0.0,266.51,99.07
178.797,60.038,238.483,815.354,974.949,133.579,0.0,0.743,7.28,0.001,275.76,100.78
97.301,98.219,66.573,596.941,857.516,115.758,0.828,1.558,1.578,0.574,156.49,57.03
99.095,89.449,60.213,563.49,874.962,116.885,0.782,2.377,1.48,0.013,153.79,56.96
160.714,68.303,233.035,812.084,982.612,131.114,0.06,0.829,6.346,2.709,258.1,96.58
97.473,9.018,214.946,515.114,1000.863,118.638,0.228,0.807,7.269,3.723,166.9,62.69
104.058,64.94,264.238,718.496,943.077,124.774,0.005,1.078,7.051,4.26,205.47,77.37
103.342,68.725,258.019,718.496,944.398,124.738,0.001,1.073,7.049,6.576,204.32,75.75
160.223,68.303,232.536,812.084,982.257,131.183,0.055,0.831,6.346,2.709,257.45,96.06
97.301,76.785,36.121,619.713,876.924,115.492,0.832,2.891,1.534,2.368,141.55,54.21
177.387,73.533,219.468,798.977,975.197,129.775,0.004,0.895,7.106,0.001,273.65,100.75
97.301,39.067,248.79,770.2,863.443,101.483,0.006,1.009,6.386,3.47,185.66,69.71
97.339,3.312,209.115,515.114,994.063,118.638,0.284,0.534,7.345,3.688,163.32,58.49
155.448,73.549,233.215,808.448,963.55,129.576,0.039,0.721,6.914,3.309,254.27,95.57
97.301,34.275,259.635,769.537,851.568,127.493,0.008,1.021,6.47,4.664,186.91,70.06
97.301,35.577,259.635,769.537,851.568,127.493,0.008,1.023,6.477,4.664,187.34,71.28
103.662,64.94,264.282,719.72,943.077,124.774,0.005,1.001,7.051,4.176,205.07,77.33
97.301,39.977,260.28,681.706,851.568,127.546,0.008,1.001,6.467,4.687,188.72,71.56
