PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,pred_7day,pred_28day,pred_56day,gwp
99.55,36.71,281.97,664.88,1002.58,142.68,1.67,2.44,68.58,1.24,54.56,71.02,71.12,196.25
101.99,47.55,278.1,671.94,1017.72,145.0,1.7,5.52,74.08,0.99,57.06,73.18,70.36,201.41
97.78,4.26,255.43,666.58,973.87,111.94,0.72,6.4,73.68,435.5,48.45,65.45,64.83,176.64
97.78,4.26,255.43,663.14,973.87,112.16,0.75,2.01,72.14,434.29,48.71,65.02,64.44,176.63
97.62,10.72,265.61,667.56,1010.69,116.82,0.73,0.41,68.14,445.03,52.15,67.63,65.04,181.42
98.22,5.54,61.89,570.79,594.14,93.73,0.68,72.62,108.32,423.69,38.87,52.36,55.11,124.77
98.23,5.53,61.89,570.79,903.03,94.29,0.68,71.44,108.1,425.09,41.33,52.42,55.44,125.92
97.72,8.54,127.05,667.82,1011.98,92.92,0.73,5.0,76.59,407.83,43.15,56.64,58.39,144.23
97.63,0.03,32.76,573.64,511.35,92.44,0.74,74.14,107.5,374.64,35.68,47.2,50.83,114.36
97.63,0.53,58.3,573.64,487.17,92.7,0.21,74.2,111.42,407.77,37.3,49.21,52.39,121.18
97.67,6.61,68.39,654.74,955.96,96.12,0.49,74.54,101.66,427.8,39.65,53.56,56.57,127.82
97.64,4.55,259.08,669.26,1005.5,116.38,0.73,5.23,74.51,436.97,50.9,66.31,64.88,177.68
97.58,0.56,185.42,668.09,1004.24,95.81,0.64,0.43,63.78,420.69,47.61,59.96,61.69,156.85
97.32,0.17,33.36,516.48,401.94,92.7,0.58,72.72,76.94,403.42,34.32,44.62,49.36,113.68
97.67,33.61,283.04,651.47,996.39,139.72,1.65,4.65,65.13,42.99,54.42,70.18,67.93,193.49
97.62,27.94,127.05,666.8,1005.6,92.92,0.73,5.0,76.59,407.83,44.14,57.59,59.71,150.47
97.84,2.36,112.55,668.25,1002.59,115.91,0.74,6.22,63.99,378.9,39.95,55.78,57.81,138.47
97.73,4.55,259.08,669.49,1004.3,116.38,0.72,5.23,74.51,380.43,50.18,66.5,64.83,177.77
