experiment,HV_hybrid,HV_nsga,HV_ratio,GD,IGD,spread,n_pareto,n_nsga,llm_calls,parse_fails,repeat
hybrid_f10_n10_nokt,22193.4066,23858.8404,0.9302,3.49648,4.55207,0.7695,50,98,10,0,1
hybrid_f10_n10_nokt,21664.9812,23858.8404,0.908,4.170844,4.862504,0.9051,50,98,10,0,2
hybrid_f10_n10_nokt,22421.2072,23858.8404,0.9397,5.396065,6.639437,0.7207,50,98,10,0,3
hybrid_f10_n10_nokt,22712.4206,23858.8404,0.9519,3.829351,3.994703,1.0013,50,98,10,0,4
hybrid_f10_n10_nokt,20597.6295,23858.8404,0.8633,6.424715,7.828045,0.8137,50,98,10,0,5
