experiment,HV_hybrid,HV_nsga,HV_ratio,GD,IGD,spread,n_pareto,n_nsga,llm_calls,parse_fails,repeat
hybrid_f20_n10_nokt,21234.9183,23858.8404,0.89,5.442553,5.603518,1.1358,50,98,7,0,1
hybrid_f20_n10_nokt,22045.1919,23858.8404,0.924,4.171147,3.702132,1.1079,50,98,7,0,2
hybrid_f20_n10_nokt,21838.3207,23858.8404,0.9153,3.99944,4.580219,0.8104,50,98,7,0,3
hybrid_f20_n10_nokt,22000.138,23858.8404,0.9221,4.059304,3.985599,1.0176,50,98,7,0,4
hybrid_f20_n10_nokt,20233.1331,23858.8404,0.848,7.210253,6.781424,1.0962,50,98,7,0,5
