F,N,rep,N_over_pop,HV_base,HV_hybrid,HV_ratio,HV_advantage,HV_pct_gain,llm_calls,parse_fails
5,5,1,0.1,20172.5579,19867.5034,0.0,-305.05449999999837,-1.5122251799311894,20,0
5,5,2,0.1,18996.8638,19577.1923,0.0,580.3284999999996,3.0548647719419857,20,0
5,5,3,0.1,20212.9141,18960.1194,0.0,-1252.7947000000022,-6.1979915107837025,20,0
5,5,4,0.1,20146.1493,18689.1795,0.0,-1456.9698000000026,-7.2320014028686,20,0
5,5,5,0.1,19545.6736,17994.3594,0.0,-1551.314199999997,-7.9368674201128435,20,0
5,10,1,0.2,20191.6741,20037.8751,0.0,-153.79899999999907,-0.7616951384927467,20,0
5,10,2,0.2,20160.921,19576.6755,0.0,-584.2454999999973,-2.897910765088546,20,0
5,10,3,0.2,18739.6125,20374.3672,0.0,1634.7547000000013,8.723524565942874,20,0
5,10,4,0.2,19852.5803,19853.9732,0.0,1.3928999999989173,0.0070162164260275895,20,0
5,10,5,0.2,19988.0222,19835.3134,0.0,-152.70880000000034,-0.764001552890012,20,0
5,20,1,0.4,18906.3359,20062.5217,0.0,1156.185800000003,6.115335124242678,20,55
5,20,2,0.4,20005.4695,19636.4607,0.0,-369.0087999999996,-1.8445395645425848,20,57
5,20,3,0.4,19373.7818,19401.4033,0.0,27.621500000001106,0.1425715448080514,20,54
5,20,4,0.4,19710.9153,17861.4635,0.0,-1849.451799999999,-9.382881372332815,20,50
5,20,5,0.4,19829.8553,19817.7618,0.0,-12.09349999999904,-0.06098632499854419,20,60
10,5,1,0.1,18478.7925,19716.4359,0.0,1237.6434000000008,6.697642175483062,10,0
10,5,2,0.1,19440.8699,19644.2909,0.0,203.42099999999846,1.046357498642581,10,0
10,5,3,0.1,19494.674,19299.1511,0.0,-195.52289999999994,-1.0029554738899453,10,0
10,5,4,0.1,17200.1769,20283.4179,0.0,3083.241000000002,17.925635404366115,10,0
10,5,5,0.1,19685.2496,19724.9885,0.0,39.738900000000285,0.2018714560774494,10,0
10,10,1,0.2,19276.0753,20122.6482,0.0,846.5728999999992,4.39183229378648,10,0
10,10,2,0.2,19366.3498,19410.6475,0.0,44.29769999999917,0.22873541197732145,10,0
10,10,3,0.2,19715.7408,19810.6736,0.0,94.93279999999868,0.48150764895427456,10,0
10,10,4,0.2,19336.0894,19806.9915,0.0,470.90209999999934,2.435353345025387,10,0
10,10,5,0.2,19784.1589,19574.9897,0.0,-209.16920000000027,-1.0572559645181594,10,0
10,20,1,0.4,19957.1185,19789.6567,0.0,-167.46180000000095,-0.839108110722502,10,27
10,20,2,0.4,19142.6773,19623.1845,0.0,480.5072,2.5101358209700377,10,28
10,20,3,0.4,18875.6371,17559.2632,0.0,-1316.3738999999987,-6.973930962044183,10,29
10,20,4,0.4,19831.9645,19604.0747,0.0,-227.8897999999972,-1.1491035091354527,10,30
10,20,5,0.4,19661.7019,19160.8681,0.0,-500.83380000000034,-2.5472555862521764,10,28
20,5,1,0.1,19778.2841,19735.5255,0.0,-42.758600000001024,-0.2161896339632467,5,0
20,5,2,0.1,19733.0052,20096.3248,0.0,363.3195999999989,1.8411772374133815,5,0
20,5,3,0.1,18368.9537,19309.6484,0.0,940.6947,5.121112042434949,5,0
20,5,4,0.1,19296.2417,19694.2437,0.0,398.0020000000004,2.0625881774687786,5,0
20,5,5,0.1,19523.5997,19982.9916,0.0,459.39190000000235,2.3530081903902302,5,0
20,10,1,0.2,18459.7037,18954.8022,0.0,495.09850000000006,2.6820500916274193,5,0
20,10,2,0.2,19844.5181,19313.4951,0.0,-531.023000000001,-2.6759178394964453,5,0
20,10,3,0.2,19367.1119,19582.8057,0.0,215.69380000000092,1.1137117455287742,5,0
20,10,4,0.2,19515.604,19313.1672,0.0,-202.4367999999995,-1.037307377214661,5,0
20,10,5,0.2,18920.7225,19832.338,0.0,911.6154999999999,4.818079753561207,5,0
20,20,1,0.4,19633.6576,19204.6384,0.0,-429.0191999999988,-2.1851211258772225,5,10
20,20,2,0.4,19983.4961,19519.625,0.0,-463.8711000000003,-2.3212710012238564,5,15
20,20,3,0.4,19267.442,19562.1924,0.0,294.7504000000008,1.529784804853705,5,15
20,20,4,0.4,20312.6439,20054.6951,0.0,-257.9487999999983,-1.2698927883041278,5,11
20,20,5,0.4,19759.8891,19896.0878,0.0,136.19870000000083,0.6892685445284247,5,15
