F,N,rep,N_over_pop,HV_base,HV_hybrid,HV_ratio,HV_advantage,HV_pct_gain,llm_calls,parse_fails
20,10,16,0.2,20429.157,20437.8634,0.8566,8.706399999999121,0.04261751965584836,5,0
20,10,17,0.2,21252.237,22108.1324,0.9266,855.8953999999976,4.0273191005727895,5,0
20,10,18,0.2,21452.8251,21778.2842,0.9128,325.45910000000003,1.5170920309232376,5,0
20,10,19,0.2,21027.093,20874.8162,0.8749,-152.27679999999964,-0.7241933062263987,5,0
20,10,20,0.2,21702.2623,21296.656,0.8926,-405.60629999999946,-1.8689586108264828,5,0
20,10,21,0.2,21432.9934,20408.014,0.8554,-1024.9794000000002,-4.782250341195925,5,0
20,10,22,0.2,21876.2703,21829.6737,0.915,-46.59660000000076,-0.21300065944056634,5,0
20,10,23,0.2,21723.8485,20969.8745,0.8789,-753.9739999999983,-3.470720208714392,5,0
20,10,24,0.2,20825.6573,22436.3839,0.9404,1610.7266000000018,7.734337393518916,5,0
20,10,25,0.2,20726.2554,21882.572,0.9172,1156.316600000002,5.5789942644439385,5,0
20,10,26,0.2,20079.9163,20228.3033,0.8478,148.3869999999988,0.7389821639844126,5,0
20,10,27,0.2,20833.8329,20031.8227,0.8396,-802.0102000000006,-3.849556650711164,5,0
20,10,28,0.2,19318.6463,22616.389,0.9479,3297.742699999999,17.070257660858974,5,0
20,10,29,0.2,21293.2773,20905.6853,0.8762,-387.59200000000055,-1.8202552596260066,5,0
20,10,30,0.2,19593.5973,21654.5921,0.9076,2060.9948000000004,10.518715723528727,5,0
