experiment,HV_hybrid,HV_nsga,HV_ratio,GD,IGD,spread,n_pareto,n_nsga,llm_calls,parse_fails,repeat
hybrid_f10_n10,22251.2673,23858.8404,0.9326,4.484609,4.934497,0.8767,50,98,10,0,1
hybrid_f10_n10,20847.7776,23858.8404,0.8738,6.641646,6.93559,0.9924,50,98,10,0,2
hybrid_f10_n10,21729.7484,23858.8404,0.9108,4.55413,5.159668,0.8276,50,98,10,0,3
hybrid_f10_n10,20015.4893,23858.8404,0.8389,4.249343,8.637205,0.5294,50,98,10,0,4
hybrid_f10_n10,20980.1272,23858.8404,0.8793,3.10731,4.034039,0.8974,50,98,10,0,5
