experiment,HV_hybrid,HV_nsga,HV_ratio,GD,IGD,spread,n_pareto,n_nsga,llm_calls,parse_fails,repeat
hybrid_f10_n10,21956.6653,23858.8404,0.9203,2.212385,3.790698,0.8169,100,98,10,0,1
hybrid_f10_n10,21902.225,23858.8404,0.918,3.468888,3.764664,0.866,100,98,10,0,2
hybrid_f10_n10,21884.6668,23858.8404,0.9173,3.757682,4.290646,0.8524,100,98,10,0,3
hybrid_f10_n10,22316.5548,23858.8404,0.9354,11.132072,4.997456,1.4504,100,98,10,0,4
hybrid_f10_n10,21845.0358,23858.8404,0.9156,3.938734,3.872643,0.9749,100,98,10,0,5
