F,N,rep,N_over_pop,HV_base,HV_hybrid,HV_ratio,HV_advantage,HV_pct_gain,llm_calls,parse_fails
5,5,1,0.1,21854.481,20627.1103,0.8645,-1227.3706999999995,-5.61610545681684,20,0
5,5,2,0.1,22213.9809,21498.9167,0.9011,-715.0641999999971,-3.2189826903110244,20,0
5,5,3,0.1,21775.2037,22206.1571,0.9307,430.95340000000215,1.9791015778190042,20,0
5,5,4,0.1,21957.411,19787.2131,0.8293,-2170.197899999999,-9.883669345170063,20,0
5,5,5,0.1,22192.8164,21516.5744,0.9018,-676.2419999999984,-3.0471211396134397,20,0
5,10,1,0.2,22529.2926,20812.3102,0.8723,-1716.9824000000008,-7.621111015265525,20,0
5,10,2,0.2,20858.3842,22032.6165,0.9235,1174.2322999999997,5.629545839893004,20,0
5,10,3,0.2,22150.7243,22130.1778,0.9275,-20.54650000000038,-0.09275768919213345,20,0
5,10,4,0.2,21405.9957,22490.6631,0.9427,1084.667400000002,5.067119582762516,20,0
5,10,5,0.2,23258.5584,19591.4765,0.8211,-3667.081900000001,-15.766591535612976,20,0
5,20,1,0.4,20835.6409,21279.4066,0.8919,443.7656999999999,2.1298394521667916,20,60
5,20,2,0.4,20941.782,21726.2528,0.9106,784.4707999999991,3.7459601097939,20,59
5,20,3,0.4,20705.3727,21367.4043,0.8956,662.0315999999984,3.197390404858534,20,60
5,20,4,0.4,21095.3131,21975.2945,0.9211,879.9814000000006,4.171454558785386,20,60
5,20,5,0.4,21090.2302,21551.3489,0.9033,461.1186999999991,2.1864090416613804,20,55
10,5,1,0.1,18883.7224,21533.8469,0.9026,2650.1245000000017,14.033909437262231,10,0
10,5,2,0.1,22197.9887,20773.475,0.8707,-1424.5137000000032,-6.417309780863178,10,0
10,5,3,0.1,21386.4006,20962.7549,0.8786,-423.64570000000094,-1.9809116453191329,10,0
10,5,4,0.1,21868.8315,20642.8267,0.8652,-1226.0047999999988,-5.606174248496079,10,0
10,5,5,0.1,21763.7261,21089.1304,0.8839,-674.5957000000017,-3.0996332930324906,10,0
10,10,1,0.2,21048.5614,21095.6851,0.8842,47.1237000000001,0.22388085866999016,10,0
10,10,2,0.2,20695.9982,21064.3981,0.8829,368.3998999999967,1.7800537883695635,10,0
10,10,3,0.2,20136.4593,21432.3497,0.8983,1295.8904000000002,6.435542518639314,10,0
10,10,4,0.2,19819.6187,21755.4964,0.9118,1935.877700000001,9.767482055545301,10,0
10,10,5,0.2,20780.0105,20325.7885,0.8519,-454.2220000000016,-2.185860300696198,10,0
10,20,1,0.4,20996.9738,20734.9867,0.8691,-261.98709999999846,-1.24773742395201,10,30
10,20,2,0.4,21832.9518,22904.7538,0.96,1071.8019999999997,4.909102579523854,10,30
10,20,3,0.4,20123.7651,22558.7626,0.9455,2434.9974999999977,12.100108940349326,10,29
10,20,4,0.4,21585.0469,20520.7679,0.8601,-1064.2790000000023,-4.930630935993019,10,30
10,20,5,0.4,21582.8617,21541.9672,0.9029,-40.894500000002154,-0.18947672726829431,10,27
20,5,1,0.1,21860.3343,22222.0826,0.9314,361.7483000000029,1.6548159558566446,5,0
20,5,2,0.1,20609.7193,21126.3764,0.8855,516.6571000000004,2.506861410771375,5,0
20,5,3,0.1,21634.9816,21081.4108,0.8836,-553.5707999999977,-2.5586839417510654,5,0
20,5,4,0.1,21639.9372,22019.9906,0.9229,380.0534000000007,1.7562592556876768,5,0
20,5,5,0.1,20315.0279,20805.7156,0.872,490.6876999999986,2.4153926955719247,5,0
20,10,1,0.2,20867.1842,20202.0596,0.8467,-665.1245999999992,-3.187419028965102,5,0
20,10,2,0.2,20536.1184,21851.6814,0.9159,1315.563000000002,6.4060937630745345,5,0
20,10,3,0.2,19171.263,22549.235,0.9451,3377.9720000000016,17.61997631559278,5,0
20,10,4,0.2,19825.4552,21041.1091,0.8819,1215.6539000000012,6.131783042237543,5,0
20,10,5,0.2,22187.364,22940.6933,0.9615,753.3292999999976,3.3953077977176447,5,0
20,20,1,0.4,21207.243,21134.957,0.8858,-72.28600000000006,-0.34085524459732963,5,15
20,20,2,0.4,21242.2816,21111.5432,0.8849,-130.73839999999836,-0.6154630771865786,5,15
20,20,3,0.4,20917.3421,20646.5843,0.8654,-270.75780000000304,-1.2944178027284021,5,15
20,20,4,0.4,21504.95,20528.8736,0.8604,-976.0764000000017,-4.538845242606943,5,12
20,20,5,0.4,21206.5657,17776.3686,0.7451,-3430.1970999999976,-16.175165505464175,5,15
