F,N,rep,N_over_pop,HV_base,HV_hybrid,HV_ratio,HV_advantage,HV_pct_gain,llm_calls,parse_fails
30,5,1,0.1,22044.2132,20712.4384,0.8681,-1331.7747999999992,-6.04138051069112,3,0
30,5,2,0.1,21131.2046,21273.1375,0.8916,141.9328999999998,0.6716744392319205,3,0
30,5,3,0.1,22758.9013,21623.0857,0.9063,-1135.8156000000017,-4.990643375214258,3,0
30,5,4,0.1,21984.5513,20961.7044,0.8786,-1022.8469000000005,-4.652571189842753,3,0
30,5,5,0.1,20375.0918,22250.2257,0.9326,1875.1339000000007,9.203069701016027,3,0
30,10,1,0.2,20053.284,21402.6338,0.8971,1349.3498,6.72882207223515,3,0
30,10,2,0.2,20480.8981,21242.0957,0.8903,761.1976000000031,3.7166221729309967,3,0
30,10,3,0.2,20710.8294,21725.8584,0.9106,1015.0290000000023,4.900957756911475,3,0
30,10,4,0.2,20867.3806,21550.7003,0.9033,683.3197,3.2745830111518646,3,0
30,10,5,0.2,21871.9521,20997.6734,0.8801,-874.2786999999989,-3.9972595770269588,3,0
30,20,1,0.4,21309.7395,19737.4271,0.8273,-1572.312399999999,-7.378374569055613,3,9
30,20,2,0.4,21370.5193,22414.1782,0.9394,1043.6588999999985,4.883638461700828,3,6
30,20,3,0.4,21749.2305,21354.6892,0.895,-394.5413000000008,-1.814047168243496,3,9
30,20,4,0.4,21553.8105,21400.5589,0.897,-153.2515999999996,-0.7110185922809314,3,9
30,20,5,0.4,20477.4457,20714.548,0.8682,237.10229999999865,1.1578704857705893,3,9
