experiment,HV_hybrid,HV_nsga,HV_ratio,GD,IGD,spread,n_pareto,n_nsga,llm_calls,parse_fails,repeat
nsga2_only,23720.5589,23858.8404,0.9942,4.242857,2.976287,1.2186,50,98,0,0,1
nsga2_only,22051.6976,23858.8404,0.9243,3.654141,3.731262,1.0185,50,98,0,0,2
nsga2_only,22306.8719,23858.8404,0.935,6.451971,3.478526,1.3782,50,98,0,0,3
nsga2_only,20917.8831,23858.8404,0.8767,6.925172,5.611685,1.2662,50,98,0,0,4
nsga2_only,20885.1613,23858.8404,0.8754,4.716554,5.585691,0.8939,50,98,0,0,5
