gen,llm_gwp,llm_str,is_feasible,is_dominated,min_dist_to_front
34,264.63,52.66,1,1,0.2388
34,208.93,44.65,1,1,0.1313
34,156.15,45.43,0,0,0.045
35,373.34,51.99,1,1,0.4935
35,195.76,50.58,1,1,0.0712
35,258.42,48.91,1,1,0.2345
35,207.7,46.63,1,1,0.1167
35,159.62,48.19,0,0,0.0046
36,451.36,50.97,0,1,0.6928
36,362.72,56.12,0,1,0.4466
36,254.67,50.23,1,1,0.2195
36,205.36,44.17,1,1,0.1268
36,154.76,44.54,0,0,0.0477
37,372.96,47.65,1,1,0.5176
37,323.52,50.97,1,1,0.3863
37,263.73,51.95,0,1,0.2375
37,208.67,48.59,1,1,0.1129
37,156.02,48.1,0,0,0.0115
38,168.31,53.26,1,0,0.0073
38,260.94,45.59,0,1,0.2572
38,206.04,39.58,1,1,0.1625
38,176.21,45.21,1,1,0.0592
38,160.37,49.19,0,1,0.0021
39,320.34,56.22,1,1,0.3444
39,218.67,48.44,1,1,0.1402
39,176.22,56.56,1,0,0.0005
39,168.31,53.26,1,1,0.0
39,159.72,48.55,1,1,0.0006
40,453.01,50.56,0,1,0.6986
40,378.12,51.29,0,1,0.5088
40,218.67,47.88,1,1,0.144
40,168.31,53.26,1,1,0.0
40,159.72,48.55,1,1,0.0006
41,163.25,49.89,1,1,0.0081
41,163.13,48.66,1,1,0.0094
41,161.49,48.67,0,1,0.005
41,170.63,52.74,1,1,0.029
41,170.93,55.77,1,0,0.0063
42,280.9,58.92,1,1,0.2396
42,215.86,51.49,1,1,0.1174
42,187.49,45.22,1,1,0.085
42,168.3,55.22,1,1,0.0003
42,159.72,48.55,1,1,0.0006
43,191.22,47.41,1,1,0.0857
43,163.38,46.21,0,1,0.0117
43,312.56,44.51,1,1,0.3905
43,218.93,47.84,1,1,0.1494
43,176.23,59.44,1,0,0.0154
44,286.74,39.24,1,1,0.3593
44,250.5,44.64,1,1,0.243
44,215.57,44.62,1,1,0.1586
44,166.1,45.69,0,1,0.0233
44,165.46,50.72,0,1,0.0094
45,156.37,44.76,0,1,0.0502
45,371.89,60.62,0,1,0.4523
45,262.05,56.02,0,1,0.2201
45,205.36,44.17,1,1,0.1458
45,163.33,52.14,0,1,0.0064
46,267.33,55.17,0,1,0.2385
46,218.41,51.6,0,1,0.1316
46,182.54,49.06,0,1,0.0676
46,173.57,58.86,1,0,0.0098
46,172.07,58.54,1,0,0.0152
47,346.29,46.36,1,1,0.4681
47,309.06,43.61,1,1,0.3973
47,271.2,49.85,1,1,0.2725
47,215.84,51.16,1,1,0.137
47,175.55,51.72,0,1,0.0373
48,410.87,47.47,0,1,0.6112
48,345.58,49.44,0,1,0.4478
48,254.61,50.77,0,1,0.228
48,192.27,40.47,0,1,0.1435
48,156.13,51.24,0,0,0.0126
49,372.91,45.2,0,1,0.5364
49,327.09,47.9,0,1,0.4191
49,260.31,51.97,1,1,0.2351
49,195.41,50.95,1,1,0.0882
49,171.44,54.69,1,1,0.0103
50,153.17,47.71,1,0,0.0232
50,233.86,43.1,1,1,0.2239
50,197.81,40.17,1,1,0.1586
50,178.71,48.3,0,1,0.0663
50,162.81,52.76,0,1,0.0037
51,356.66,51.85,1,1,0.4579
51,308.42,51.22,1,1,0.356
51,263.46,53.08,1,1,0.2377
51,213.22,51.02,1,1,0.1313
51,168.16,50.94,0,1,0.028
52,490.8,47.89,0,1,0.809
52,366.42,44.24,0,1,0.5287
52,258.12,43.02,1,1,0.2813
52,172.88,48.07,0,1,0.0504
52,172.9,53.57,0,1,0.0203
53,168.02,48.5,0,1,0.0368
53,361.72,43.34,0,1,0.525
53,218.74,46.64,1,1,0.1681
53,166.82,47.85,1,1,0.0344
53,173.12,49.07,0,1,0.0497
54,451.66,45.71,0,1,0.7237
54,228.62,50.67,1,1,0.1716
54,310.26,45.09,1,1,0.3979
54,168.34,50.77,0,1,0.0299
54,168.18,51.46,0,1,0.024
55,165.78,54.58,1,0,0.0031
55,165.3,53.88,0,1,0.0052
55,161.89,53.02,1,1,0.0036
55,163.73,47.06,1,1,0.033
55,164.65,50.93,0,1,0.0237
56,502.15,46.03,0,1,0.8507
56,156.96,48.56,0,1,0.0132
56,258.29,46.77,1,1,0.2635
56,194.29,43.51,0,1,0.1257
56,153.28,48.95,0,1,0.0096
57,363.15,47.04,1,1,0.5086
57,307.49,46.83,1,1,0.3806
57,205.47,44.13,0,1,0.1518
57,181.25,56.61,0,1,0.0289
57,150.34,47.77,0,0,0.0061
58,179.01,42.56,1,1,0.0967
58,366.29,44.79,0,1,0.5304
58,259.86,44.8,1,1,0.2774
58,205.84,44.59,1,1,0.1523
58,173.57,52.77,0,1,0.0285
59,363.15,49.94,0,1,0.4816
59,173.72,46.89,1,1,0.0608
59,215.81,50.09,1,1,0.1459
59,173.4,55.38,0,1,0.0167
59,153.25,45.83,1,1,0.0259
60,373.78,53.1,1,1,0.4987
60,320.07,53.05,1,1,0.3734
60,263.73,51.95,0,1,0.2496
60,202.55,46.34,1,1,0.1354
60,151.31,50.82,0,0,0.0045
61,366.66,48.13,0,1,0.5097
61,173.46,57.66,0,1,0.0054
61,262.72,50.92,1,1,0.2532
61,205.84,43.99,1,1,0.1582
61,150.81,48.91,0,0,0.0102
62,531.93,51.59,0,1,0.9096
62,411.53,62.36,1,1,0.5589
62,297.12,46.64,1,1,0.3616
62,192.1,45.28,0,1,0.1205
62,156.73,51.04,0,1,0.0109
63,166.69,47.56,1,1,0.0502
63,306.81,52.59,1,1,0.3484
63,254.56,43.65,1,1,0.2724
63,206.02,46.02,1,1,0.1464
63,170.63,55.18,0,1,0.0087
64,196.04,53.26,0,1,0.0814
64,429.06,46.36,0,1,0.6667
64,274.58,52.2,1,1,0.2809
64,181.38,54.99,0,1,0.0378
64,156.63,53.02,0,0,0.0033
65,463.88,53.06,0,1,0.7047
65,372.78,53.37,0,1,0.4954
65,323.89,50.73,0,1,0.3982
65,215.49,48.0,1,1,0.1549
65,156.02,48.4,0,1,0.0289
66,454.06,50.91,1,1,0.7109
66,359.15,60.47,0,1,0.4301
66,259.84,51.94,1,1,0.2492
66,206.02,48.57,1,1,0.1306
66,173.75,51.68,0,1,0.0449
67,365.29,52.41,1,1,0.4822
67,309.47,51.47,1,1,0.3627
67,258.29,51.68,1,1,0.2476
67,197.19,61.43,1,1,0.051
67,168.14,55.46,1,1,0.0012
68,186.49,62.44,0,1,0.0254
68,254.13,51.98,0,1,0.2361
68,162.85,53.43,0,1,0.0215
68,192.95,42.32,1,1,0.149
68,153.81,50.57,0,1,0.0083
69,170.74,52.97,1,1,0.0386
69,252.12,44.16,0,1,0.2667
69,200.66,44.33,1,1,0.1555
69,150.12,50.45,1,0,0.0088
69,173.42,56.21,0,1,0.0134
70,194.5,64.92,0,1,0.0252
70,267.89,63.3,0,1,0.1922
70,176.21,61.64,1,0,0.0012
70,218.93,49.12,1,1,0.1601
