PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,GWP,28day
97.301,46.675,63.712,678.823,740.289,136.298,0.855,0.809,4.866,3.824,138.6,49.85
182.045,39.672,259.006,815.071,970.588,135.631,0.779,1.197,2.897,0.05,277.88,99.81
137.687,23.098,288.689,816.291,972.995,135.079,0.793,1.109,2.719,1.728,233.81,92.86
164.845,25.394,270.528,803.63,977.975,130.329,0.798,1.237,1.859,6.172,258.21,94.65
111.599,19.715,299.237,770.766,972.847,133.05,0.797,1.054,3.964,4.563,208.02,77.17
109.683,16.079,318.71,761.591,973.842,133.14,0.797,1.043,3.287,6.253,209.94,85.59
97.301,19.235,279.372,721.55,981.152,132.689,0.798,1.014,4.245,5.6,187.54,70.99
97.301,21.323,273.566,799.775,739.961,149.075,0.844,1.213,4.917,20.195,186.0,63.7
110.841,35.025,322.505,806.901,1007.569,132.584,0.797,0.865,3.989,3.508,218.62,88.57
136.924,10.916,297.982,768.659,973.776,127.158,0.868,1.037,3.97,4.075,231.35,88.82
168.536,36.813,268.356,816.798,996.922,135.842,0.785,0.512,2.533,4.777,265.36,97.85
176.551,39.96,263.977,814.391,986.875,135.588,0.779,1.209,2.532,0.0,273.59,98.78
109.683,28.764,317.684,761.623,973.842,133.145,0.797,1.043,3.287,6.253,213.83,86.95
97.301,15.634,261.684,814.175,732.292,139.737,0.845,1.147,5.036,21.94,181.01,61.6
137.438,10.916,300.541,768.659,973.776,127.073,0.868,1.03,3.962,4.567,232.56,89.4
110.194,18.436,299.52,762.307,974.07,133.058,0.797,1.043,3.208,6.19,206.19,76.31
137.132,22.488,289.01,816.291,972.995,135.103,0.793,1.109,2.719,1.638,233.11,92.42
97.301,20.433,249.043,734.219,588.431,143.111,0.787,1.948,4.478,22.211,178.51,59.74
97.301,19.235,279.38,786.095,981.152,132.694,0.798,1.015,4.245,5.6,187.71,71.9
105.652,22.025,299.882,763.64,978.661,127.418,0.798,0.995,3.922,5.8,202.72,75.06
97.857,36.923,279.245,786.095,981.152,132.662,0.798,1.015,4.261,5.67,194.06,72.97
97.301,36.313,279.566,786.095,981.152,132.686,0.798,1.015,4.261,5.58,193.36,72.52
97.301,46.675,63.68,689.17,1050.048,129.41,0.797,0.805,4.947,4.419,139.77,53.89
97.301,46.675,63.68,692.82,831.83,129.41,0.797,0.809,4.821,4.087,138.97,52.36
97.301,90.174,56.973,652.934,1047.645,127.677,0.8,0.67,5.075,14.67,152.16,57.78
97.301,74.339,36.181,674.504,981.59,127.684,0.867,1.106,4.646,7.247,141.29,54.72
97.301,11.163,262.435,812.572,733.274,142.96,0.843,1.147,4.925,21.383,179.74,60.73
97.301,81.33,38.347,673.732,985.739,127.309,0.87,0.911,5.014,7.414,144.17,55.1
98.21,109.034,87.417,659.465,924.405,132.525,0.792,0.694,5.156,13.617,166.9,59.27
110.65,16.227,277.473,762.001,973.842,132.841,0.797,1.014,3.057,6.1,200.12,73.57
97.301,46.952,63.529,678.765,760.897,135.222,0.798,0.967,4.867,4.033,138.72,51.16
97.301,109.003,86.314,659.485,924.041,132.621,0.792,0.694,5.184,14.577,165.64,59.17
178.476,39.672,259.006,815.071,970.588,135.631,0.779,1.198,2.897,0.05,274.14,99.65
109.853,16.715,319.402,766.271,973.842,133.145,0.796,1.048,3.287,6.253,210.53,85.9
97.301,21.222,267.379,802.694,706.634,141.076,0.845,1.212,4.766,18.973,184.22,63.47
106.696,18.562,299.871,763.479,978.661,132.867,0.798,0.995,3.921,5.789,202.68,74.04
97.301,89.092,70.565,652.759,1036.752,127.746,0.8,0.67,5.27,15.145,155.36,58.2
98.211,116.395,98.007,654.797,935.82,129.025,0.792,0.396,5.228,13.499,172.14,59.59
98.292,95.861,78.346,657.561,921.264,132.639,0.8,0.694,5.068,13.382,160.25,59.08
98.743,81.33,42.802,673.732,986.333,126.987,0.867,0.911,5.081,6.622,146.86,55.41
97.714,90.174,70.479,654.398,1036.752,127.746,0.8,0.663,5.27,14.47,156.13,58.69
98.205,116.395,97.106,654.797,935.82,129.025,0.792,0.396,5.228,13.499,171.9,59.58
110.764,35.182,318.104,805.632,1027.453,132.456,0.797,0.863,3.917,3.365,217.5,87.78
167.865,32.656,268.356,816.798,996.922,135.86,0.785,0.514,2.533,4.777,263.29,97.31
167.313,21.137,274.01,813.261,997.655,134.516,0.815,0.489,2.444,4.949,260.42,95.67
166.085,25.972,275.905,816.221,997.84,134.534,0.813,0.487,2.569,2.062,261.23,96.32
97.301,88.328,56.409,639.79,974.889,126.242,0.868,0.924,4.633,9.872,151.11,56.37
97.301,90.174,53.724,652.423,1015.659,129.616,0.8,0.67,5.285,14.517,151.19,56.76
166.722,25.972,276.197,816.221,997.84,134.534,0.813,0.487,2.572,2.064,261.97,97.01
97.799,95.861,78.346,658.503,921.115,132.639,0.8,0.694,5.068,13.245,159.74,58.84
