gen,llm_gwp,llm_str,is_feasible,is_dominated,min_dist_to_front
34,155.48,47.69,0,0,0.0877
34,182.24,55.41,1,1,0.0059
35,264.37,57.86,0,1,0.1966
35,228.66,54.63,1,1,0.1166
35,180.32,54.25,1,1,0.0081
35,155.48,47.69,0,0,0.0877
35,188.84,52.61,0,1,0.0329
36,214.57,56.17,0,1,0.0776
36,203.14,55.39,1,1,0.0513
36,191.7,55.27,1,1,0.0284
36,158.4,47.93,0,0,0.0821
36,180.44,55.74,1,1,0.0
37,218.37,52.61,0,1,0.1032
37,166.66,49.81,0,0,0.0517
37,163.01,50.86,0,0,0.0495
37,166.63,50.42,0,0,0.0462
37,166.63,50.42,0,0,0.0462
38,156.39,54.03,0,0,0.0566
38,235.22,53.52,0,1,0.1378
38,176.99,53.92,1,0,0.003
38,186.62,56.74,1,0,0.0
38,182.13,55.34,1,1,0.0099
39,178.7,55.6,1,0,0.0001
39,178.5,55.66,1,0,0.0009
39,177.82,54.46,1,1,0.0011
39,177.1,54.47,0,0,0.0009
39,176.99,53.92,1,1,0.0
40,287.53,59.18,0,1,0.2451
40,257.83,55.09,0,1,0.1915
40,214.23,51.46,1,1,0.1035
40,183.42,51.89,0,1,0.0289
40,201.4,48.06,0,1,0.0939
41,176.99,53.92,1,1,0.0
41,176.99,53.92,1,1,0.0
41,176.99,53.92,1,1,0.0
41,176.99,53.92,1,1,0.0
41,186.57,53.49,1,1,0.0267
42,176.99,53.92,1,1,0.0
42,176.99,53.92,1,1,0.0
42,176.99,53.92,1,1,0.0
42,176.99,53.92,1,1,0.0
42,176.99,53.92,1,1,0.0
43,176.99,53.92,1,1,0.0
43,176.99,53.92,1,1,0.0
43,177.61,53.65,1,1,0.0035
43,176.99,53.92,1,1,0.0
43,177.55,53.61,1,1,0.0038
44,176.49,53.68,1,0,0.0004
44,175.65,52.45,0,0,0.0141
44,177.07,52.61,1,1,0.0121
44,177.72,54.22,1,0,0.0039
44,177.64,52.62,1,1,0.0123
45,177.37,51.46,1,1,0.0251
45,177.37,51.46,1,1,0.0251
45,177.37,51.46,1,1,0.0251
45,177.37,51.46,1,1,0.0251
45,177.37,51.46,1,1,0.0251
46,178.13,55.19,1,0,0.0014
46,178.13,55.19,1,0,0.0014
46,178.13,55.19,1,0,0.0014
46,178.13,55.19,1,0,0.0014
46,178.13,55.19,1,0,0.0014
47,178.13,55.19,1,1,0.0
47,178.13,55.19,1,1,0.0
47,178.13,55.19,1,1,0.0
47,176.0,52.96,1,0,0.0
47,185.28,53.13,1,1,0.0241
48,176.0,52.96,1,1,0.0
48,176.0,52.96,1,1,0.0
48,176.0,52.96,1,1,0.0
48,176.0,53.59,1,0,0.0
48,176.0,52.96,1,1,0.0
49,231.39,59.24,1,1,0.1112
49,189.23,54.57,0,1,0.0289
49,177.33,52.47,1,1,0.0131
49,177.0,52.56,1,1,0.0119
49,176.84,52.48,1,1,0.0127
50,176.29,52.44,0,1,0.013
50,174.16,54.86,0,0,0.0121
50,201.49,60.79,1,1,0.028
50,192.98,53.87,1,1,0.0415
50,176.77,52.17,1,1,0.0161
51,285.27,52.95,1,1,0.2736
51,263.73,51.95,0,1,0.2246
51,325.22,60.6,1,1,0.3327
51,170.3,53.22,1,0,0.0161
51,222.24,54.83,1,1,0.1079
52,137.5,41.71,0,0,0.1578
52,156.96,47.76,0,0,0.0716
52,208.82,52.01,1,1,0.0878
52,155.48,47.69,0,0,0.0744
