gen,llm_gwp,llm_str,is_feasible,is_dominated,min_dist_to_front
1,377.57,49.88,0,1,0.1286
1,241.78,60.59,1,0,0.0405
1,453.32,39.0,0,1,0.3466
1,326.67,55.26,0,1,0.1196
1,166.84,45.82,1,0,0.2642
2,523.66,45.34,0,1,0.4769
2,394.97,61.12,1,1,0.09
2,287.41,54.69,1,1,0.1391
2,188.3,44.85,0,1,0.0597
2,138.98,49.02,0,0,0.0843
3,351.51,48.9,0,1,0.1853
3,319.31,54.95,0,1,0.1561
3,236.54,52.12,0,1,0.0603
3,205.25,52.92,1,0,0.0578
3,184.27,50.88,0,0,0.0649
4,210.98,59.64,1,0,0.0382
4,218.87,56.84,1,1,0.0
4,205.25,52.92,1,1,0.0
4,165.13,45.69,1,1,0.0
4,159.64,44.9,1,0,0.0
5,165.8,46.87,1,0,0.0001
5,165.13,45.91,1,0,0.0025
5,162.38,45.48,1,0,0.0001
5,162.05,45.58,1,0,0.0015
5,159.64,44.95,1,0,0.0006
6,373.09,51.2,0,1,0.4493
6,271.38,51.48,1,1,0.1817
6,212.29,47.14,1,1,0.06
6,162.05,45.56,1,1,0.0002
6,159.64,44.95,1,1,0.0
7,267.18,52.1,0,1,0.1686
7,218.61,51.61,1,1,0.0386
7,188.12,47.31,1,1,0.0319
7,147.4,42.22,1,0,0.0432
7,137.61,42.19,0,0,0.0638
8,324.2,49.73,0,1,0.3265
8,271.75,50.21,0,1,0.1837
8,219.3,49.18,1,1,0.0542
8,154.01,43.14,1,0,0.0208
8,137.32,41.97,0,0,0.0277
9,301.7,50.03,1,1,0.2682
9,258.18,54.38,1,1,0.1452
9,206.1,46.23,1,1,0.0729
9,167.21,47.89,1,0,0.0053
9,147.93,43.68,1,0,0.0165
10,340.24,60.88,0,1,0.328
10,281.59,59.79,0,1,0.2009
10,219.3,49.91,1,1,0.0558
10,179.69,46.95,1,1,0.019
10,147.93,44.11,0,0,0.0048
11,145.29,42.75,0,0,0.006
11,266.74,58.01,1,1,0.165
11,206.1,49.6,1,1,0.0363
11,154.01,43.67,1,1,0.0152
11,147.9,43.39,1,0,0.0033
12,286.94,39.28,0,1,0.2936
12,239.05,39.93,0,1,0.2002
12,189.94,39.42,1,1,0.1101
12,166.44,42.54,0,1,0.0424
12,147.9,43.39,1,1,0.0
13,347.38,52.05,0,1,0.3935
13,167.53,47.57,0,1,0.0034
13,308.12,53.49,0,1,0.2857
13,206.1,49.52,1,1,0.0663
13,161.18,47.01,1,1,0.0013
14,307.01,47.65,1,1,0.3108
14,256.85,47.81,1,1,0.1852
14,200.76,44.38,1,1,0.0885
14,150.76,44.6,1,0,0.0068
14,147.45,43.19,1,1,0.0
15,502.78,52.61,0,1,0.7829
15,391.66,46.03,1,1,0.5318
15,304.61,48.27,1,1,0.3017
15,232.28,48.28,1,1,0.1245
15,147.48,42.78,1,1,0.0038
16,293.81,50.82,1,1,0.2625
16,229.89,42.64,1,1,0.1589
16,192.84,38.2,1,1,0.1336
16,158.52,41.36,0,1,0.0364
16,140.14,44.01,0,0,0.0213
17,479.91,50.87,0,1,0.7321
17,370.36,59.93,0,1,0.4174
17,260.87,53.19,0,1,0.1697
17,206.41,47.02,1,1,0.0826
17,137.5,43.22,0,0,0.022
18,153.41,49.93,0,0,0.0178
18,335.14,47.53,1,1,0.3832
18,291.19,46.51,1,1,0.2784
18,206.04,44.08,1,1,0.1149
18,147.87,45.34,0,0,0.0054
19,370.02,59.02,0,1,0.4229
19,311.64,53.44,0,1,0.2931
19,260.47,56.12,1,1,0.1524
19,192.9,41.12,1,1,0.1144
19,139.82,43.77,0,0,0.017
20,320.11,46.58,1,1,0.3446
20,144.67,48.31,1,0,0.0212
20,263.73,51.95,0,1,0.1789
20,198.18,42.99,1,1,0.1118
20,137.55,40.67,0,0,0.0147
21,144.67,48.31,1,1,0.0
21,266.74,55.66,1,1,0.1701
21,203.13,45.21,1,1,0.0988
21,164.07,46.27,1,1,0.0354
21,140.19,43.72,0,0,0.0217
22,144.67,48.31,1,1,0.0
22,246.34,43.71,1,1,0.1978
22,171.56,45.06,1,1,0.0581
22,156.65,48.23,1,1,0.0068
22,150.39,46.23,1,1,0.024
23,166.95,50.76,1,0,0.0018
23,259.46,46.5,1,1,0.2138
23,175.48,45.64,1,1,0.0566
23,151.37,47.04,1,1,0.016
23,140.19,45.61,0,0,0.0328
24,362.67,48.99,1,1,0.4214
24,154.38,51.62,0,0,0.024
24,259.73,47.09,1,1,0.2085
24,206.1,43.46,1,1,0.1206
24,145.47,44.59,0,1,0.026
25,407.15,57.77,0,1,0.5239
25,346.5,62.86,1,1,0.3496
25,285.86,59.19,1,1,0.2251
25,219.3,49.01,1,1,0.1092
25,141.02,39.98,0,1,0.0364
26,482.92,45.13,0,1,0.773
26,392.08,51.36,1,1,0.5234
26,258.0,47.0,1,1,0.2042
26,195.06,63.02,0,0,0.0216
26,155.76,46.04,0,1,0.0424
27,385.39,49.94,1,1,0.5149
27,324.75,51.21,1,1,0.3497
27,263.73,51.95,0,1,0.1882
27,197.99,46.34,1,1,0.0816
27,140.84,41.26,1,1,0.0001
28,362.35,48.0,1,1,0.4696
28,205.78,47.98,1,1,0.0844
28,158.42,49.38,1,1,0.0037
28,144.42,49.21,1,1,0.0002
28,140.85,43.2,1,1,0.0001
29,372.3,50.51,0,1,0.4852
29,218.61,46.13,1,1,0.1253
29,165.95,49.05,0,1,0.0308
29,154.03,49.69,0,1,0.0215
29,154.03,50.22,0,1,0.0172
30,391.58,50.51,0,1,0.5336
30,269.65,47.88,1,1,0.2431
30,205.73,42.51,1,1,0.1349
30,139.96,44.3,0,0,0.0114
30,140.79,41.26,1,1,0.0001
31,359.28,46.03,1,1,0.473
31,309.43,44.62,1,1,0.3579
31,206.41,43.8,1,1,0.1237
31,144.32,49.77,1,1,0.0001
31,140.53,41.26,1,1,0.0001
32,333.07,67.79,0,1,0.2933
32,271.07,60.01,1,1,0.1894
32,215.62,54.35,1,1,0.0825
32,146.6,47.18,1,1,0.0298
32,140.29,42.0,1,0,0.0083
33,375.87,48.98,0,1,0.5027
33,310.21,45.74,1,1,0.3569
33,194.71,41.52,1,1,0.1332
33,140.62,44.72,0,0,0.0084
33,140.2,42.19,0,0,0.0013
34,140.29,42.0,1,1,0.0
34,405.15,52.83,0,1,0.55
34,330.21,59.43,1,1,0.3417
34,205.73,43.01,0,1,0.1303
34,156.76,52.78,0,0,0.0312
35,156.13,51.8,0,1,0.0306
35,177.06,50.8,1,1,0.0247
35,218.98,47.52,1,1,0.1189
35,141.77,48.07,0,0,0.0327
35,140.01,42.45,1,0,0.0008
36,311.24,47.02,0,1,0.3556
36,258.83,47.9,0,1,0.2162
36,205.78,48.97,0,1,0.0812
36,144.24,50.9,1,1,0.0001
36,140.01,42.45,1,1,0.0
37,174.66,42.9,1,1,0.0902
37,140.89,40.89,0,1,0.0178
37,145.35,52.57,1,0,0.0001
37,144.04,51.11,1,0,0.0008
37,139.98,42.45,1,0,0.0001
38,365.34,47.04,0,1,0.4847
38,256.85,45.93,1,1,0.2204
38,166.04,40.04,0,1,0.0776
38,150.87,43.09,1,1,0.0265
38,147.48,52.11,0,1,0.007
39,357.15,46.87,1,1,0.4676
39,303.06,42.66,1,1,0.3591
39,248.98,43.09,1,1,0.2318
39,194.9,39.87,1,1,0.1521
39,143.45,44.53,0,1,0.0066
40,481.37,48.2,0,1,0.7558
40,362.72,50.06,1,1,0.4672
40,192.44,40.36,1,1,0.144
40,142.72,50.35,1,0,0.0025
40,139.98,42.21,1,1,0.0034
41,140.18,43.41,0,1,0.0008
41,372.17,49.53,1,1,0.4767
41,306.88,46.14,0,1,0.3541
41,205.91,44.86,0,1,0.1493
41,137.74,41.41,0,0,0.0172
42,347.87,48.02,1,1,0.4391
42,301.7,46.38,1,1,0.3413
42,205.91,47.28,1,1,0.1252
42,139.84,42.45,1,1,0.0052
42,144.98,54.37,1,1,0.0006
43,180.74,52.7,1,1,0.046
43,322.95,58.69,0,1,0.3105
43,264.58,55.93,1,1,0.1962
43,206.21,54.16,1,1,0.0716
43,136.39,44.22,0,0,0.0102
44,137.96,41.43,0,0,0.0184
44,271.01,53.02,1,1,0.2291
44,141.72,51.79,0,0,0.0139
44,204.32,48.73,0,1,0.113
44,146.98,52.36,0,1,0.0141
45,450.2,47.96,0,1,0.6537
45,153.67,53.92,1,1,0.0246
45,294.25,39.9,1,1,0.3624
45,202.74,48.03,1,1,0.1171
45,156.69,54.48,0,1,0.0321
46,158.04,46.63,1,1,0.0534
46,363.2,41.4,0,1,0.5151
46,142.96,53.9,1,0,0.0036
46,199.38,51.4,1,1,0.0819
46,156.14,50.21,0,1,0.0483
47,391.32,51.1,0,1,0.538
47,319.87,54.19,1,1,0.3468
47,206.1,46.18,1,1,0.1401
47,141.75,51.3,0,0,0.0194
47,159.4,57.47,1,0,0.0394
48,503.86,48.05,0,1,0.8393
48,407.93,49.67,1,1,0.5861
48,323.52,51.21,1,1,0.3713
48,139.1,43.65,1,0,0.0005
48,142.29,52.2,1,1,0.0096
49,345.57,48.12,1,1,0.4409
49,302.13,45.93,1,1,0.3565
49,206.42,48.41,1,1,0.1259
49,150.5,41.35,0,1,0.0387
49,152.62,46.69,0,1,0.0422
50,235.77,38.32,0,1,0.2651
50,189.88,39.3,1,1,0.1426
50,141.61,40.77,1,1,0.0332
50,140.31,45.69,0,0,0.0186
50,142.47,54.95,0,0,0.0119
51,362.41,51.95,1,1,0.4598
51,295.84,44.83,1,1,0.3487
51,192.31,42.48,1,1,0.1399
51,141.0,51.53,0,0,0.0218
51,156.39,49.65,0,1,0.0582
52,112.04,40.12,0,0,0.084
52,401.31,57.21,0,1,0.5431
52,295.65,47.52,0,1,0.3369
52,192.64,40.63,0,1,0.1449
52,142.15,55.21,0,0,0.0095
53,145.75,56.21,0,0,0.0013
53,302.63,44.71,0,1,0.3665
53,206.1,42.92,1,1,0.1769
53,144.28,53.36,1,1,0.0064
53,143.78,42.81,1,1,0.0143
54,146.18,56.16,1,0,0.0001
54,141.64,43.68,1,1,0.0031
54,139.1,43.65,1,1,0.0
54,143.15,55.29,1,0,0.0018
54,141.77,53.38,1,1,0.0008
55,347.53,45.84,0,1,0.4624
55,296.09,40.76,0,1,0.393
55,244.02,35.03,1,1,0.3031
55,192.58,38.05,1,1,0.1594
55,142.93,52.96,0,1,0.0064
56,461.31,43.46,1,1,0.7543
56,320.48,48.56,1,1,0.3836
56,205.52,47.19,0,1,0.1664
56,159.22,56.92,1,0,0.0018
56,142.99,56.12,1,0,0.0
57,314.53,53.13,1,1,0.3431
57,252.16,53.86,1,1,0.2026
57,195.06,50.78,1,1,0.119
57,164.84,53.47,1,1,0.0402
57,145.06,55.08,0,1,0.0118
58,374.28,54.36,0,1,0.4923
58,317.3,50.27,0,1,0.3688
58,260.31,46.34,1,1,0.2778
58,200.69,42.8,1,1,0.1672
