gen,llm_gwp,llm_str,is_feasible,is_dominated,min_dist_to_front
1,468.06,55.22,0,1,0.4587
1,359.63,59.42,1,1,0.1583
1,315.66,49.63,1,1,0.1448
1,247.49,54.12,0,1,0.0308
1,170.46,47.72,0,0,0.2185
2,435.42,49.55,0,1,0.3804
2,378.97,51.57,1,1,0.2362
2,331.07,55.34,1,1,0.1085
2,258.42,52.88,1,1,0.061
2,213.79,52.01,1,0,0.0543
3,371.23,57.64,1,1,0.1826
3,314.13,57.92,1,1,0.0724
3,257.94,50.4,1,1,0.0829
3,206.93,51.25,0,0,0.0206
3,163.84,49.54,0,0,0.1395
4,382.43,62.85,1,1,0.1921
4,331.25,61.84,1,1,0.0737
4,280.72,62.03,1,0,0.0346
4,226.69,56.58,1,1,0.0156
4,182.24,50.67,0,0,0.087
5,382.43,61.81,1,1,0.1926
5,333.89,66.87,1,1,0.0482
5,280.72,62.03,1,1,0.0
5,221.52,49.95,1,1,0.0315
5,176.98,51.29,0,0,0.1004
6,359.44,47.41,1,1,0.2509
6,293.19,63.49,1,1,0.0048
6,280.72,62.03,1,1,0.0
6,218.01,56.32,1,0,0.0084
6,200.61,49.19,0,0,0.0128
7,366.11,59.28,1,1,0.147
7,291.89,60.06,1,1,0.0475
7,254.5,54.81,1,1,0.0517
7,224.05,54.07,1,1,0.0293
7,187.65,50.19,0,0,0.0478
8,351.23,42.91,1,1,0.2778
8,309.84,47.47,1,1,0.1583
8,254.19,48.5,0,1,0.1105
8,208.08,52.37,0,0,0.0073
8,155.54,48.36,0,0,0.1359
9,370.94,57.16,1,1,0.1734
9,209.99,52.12,1,0,0.0015
9,216.98,54.66,1,0,0.0041
9,619.63,51.63,0,1,0.7633
9,158.4,47.93,0,0,0.1288
10,208.47,50.01,1,1,0.0212
10,359.52,58.75,1,1,0.1528
10,309.97,44.08,1,1,0.1912
10,218.71,54.49,1,1,0.0051
10,192.83,51.9,0,0,0.0227
11,457.5,52.94,1,1,0.3686
11,359.09,56.25,1,1,0.185
11,296.71,45.16,1,1,0.1609
11,218.01,56.32,1,1,0.0
11,184.89,51.24,0,0,0.0395
12,298.13,41.36,1,1,0.1992
12,257.52,47.36,1,1,0.116
12,220.13,53.53,1,1,0.0219
12,203.1,54.61,1,0,0.0207
12,192.88,52.21,0,0,0.0231
13,299.56,47.42,1,1,0.1724
13,262.34,52.19,1,1,0.0937
13,222.95,50.36,1,1,0.0563
13,221.54,54.27,1,1,0.0205
13,192.83,50.65,0,0,0.0137
14,391.95,51.92,1,1,0.2629
14,270.53,49.09,1,1,0.1284
14,218.01,55.53,0,1,0.0088
14,198.61,51.52,1,0,0.0036
14,186.86,50.26,1,0,0.005
15,197.08,51.38,1,0,0.0011
15,212.73,55.19,1,0,0.0011
15,203.0,54.65,1,0,0.0003
15,197.27,51.48,1,0,0.0001
15,186.86,49.82,1,1,0.0001
16,285.02,46.54,1,1,0.1647
16,241.67,45.35,0,1,0.1363
16,214.77,46.28,0,1,0.0738
16,203.15,51.0,0,1,0.0137
16,186.86,49.82,1,1,0.0001
17,333.28,54.17,1,1,0.1813
17,267.62,52.81,1,1,0.0627
17,218.37,47.57,1,1,0.0763
17,169.12,47.48,0,0,0.0535
17,187.33,49.39,0,1,0.005
18,345.39,55.61,0,1,0.1891
18,278.9,62.42,1,1,0.017
18,199.82,54.5,1,0,0.0057
18,211.38,54.3,0,1,0.0107
18,152.62,48.78,0,0,0.0759
19,198.54,55.99,0,0,0.0169
19,243.62,44.48,1,1,0.1474
19,195.25,54.45,1,0,0.0125
19,214.85,51.98,1,1,0.0367
19,165.82,53.99,0,0,0.0413
20,399.23,60.92,0,1,0.3226
20,333.52,63.62,1,1,0.1406
20,284.21,70.93,1,1,0.0477
20,234.9,55.04,1,1,0.0519
20,185.04,51.76,0,1,0.0204
21,501.92,49.98,0,1,0.6384
21,373.84,51.62,0,1,0.3021
21,210.58,47.56,1,1,0.0874
21,177.62,51.67,1,1,0.0003
21,136.06,42.71,0,0,0.1496
22,534.85,52.28,0,1,0.7184
22,365.87,54.03,1,1,0.2706
22,316.29,57.43,1,1,0.1329
22,218.56,50.15,1,1,0.0812
22,159.63,49.66,0,0,0.0524
23,419.49,53.94,0,1,0.4105
23,365.76,46.74,1,1,0.312
23,312.02,45.53,1,1,0.2221
23,192.05,39.52,0,1,0.1406
23,138.98,42.52,0,0,0.1457
24,510.56,40.49,0,1,0.6972
24,371.65,51.19,0,1,0.3003
24,320.48,48.39,0,1,0.2082
24,218.5,49.67,1,1,0.086
24,160.5,46.57,1,0,0.0723
25,232.18,52.69,1,1,0.0738
25,199.49,48.83,1,1,0.0682
25,191.08,56.55,1,0,0.0008
25,178.05,53.36,1,1,0.0004
25,160.5,46.57,1,1,0.0
26,264.27,25.27,0,1,0.3711
26,178.77,54.22,1,0,0.0001
26,177.43,51.56,1,1,0.0009
26,176.09,50.36,1,0,0.0008
26,160.4,47.31,1,0,0.0005
27,281.49,52.33,1,1,0.1419
27,219.24,47.52,1,1,0.1173
27,176.51,51.44,1,0,0.0002
27,192.59,50.54,1,1,0.0433
27,165.71,49.64,1,0,0.0226
28,246.58,63.3,1,1,0.0526
28,234.79,58.85,1,0,0.0796
28,203.09,52.62,0,1,0.0539
28,174.13,49.45,1,1,0.0231
28,165.71,51.0,1,0,0.0153
29,236.81,66.52,1,1,0.0235
29,240.74,68.87,1,0,0.0147
29,230.97,66.06,1,0,0.0279
29,182.34,54.27,1,1,0.0188
29,161.75,47.8,1,1,0.0053
30,309.95,48.56,1,1,0.2926
30,155.13,46.9,0,0,0.0201
30,241.81,47.52,1,1,0.1801
30,200.93,49.4,1,1,0.081
30,160.45,48.61,0,0,0.0044
31,392.01,53.18,1,1,0.4228
31,315.04,47.02,1,1,0.3141
31,267.6,56.74,1,1,0.1454
31,218.48,48.27,0,1,0.1287
31,168.66,49.88,0,1,0.0089
32,346.69,41.95,1,1,0.418
32,307.25,45.22,1,1,0.3093
32,210.26,49.07,1,1,0.1068
32,166.32,49.97,1,1,0.0031
32,168.35,49.9,0,1,0.008
33,440.79,51.13,0,1,0.5416
33,345.58,49.32,0,1,0.3722
33,296.69,48.63,0,1,0.2628
33,202.21,47.02,0,1,0.0999
33,173.61,49.75,0,1,0.0222
34,330.38,52.47,1,1,0.3181
34,267.74,51.65,0,1,0.1801
34,208.88,52.33,0,1,0.087
34,182.14,50.21,0,1,0.0425
34,162.99,48.31,0,1,0.0072
35,371.77,44.38,0,1,0.4617
35,303.2,43.7,0,1,0.3146
35,208.64,47.88,0,1,0.1156
35,160.39,48.09,1,1,0.002
35,152.66,45.26,0,0,0.0089
36,168.82,50.17,0,1,0.0327
36,281.49,57.73,1,1,0.1726
36,218.5,50.39,1,1,0.1212
36,159.94,52.71,1,0,0.0073
36,152.66,45.72,1,0,0.0037
37,164.88,46.96,1,1,0.0188
37,258.29,49.16,1,1,0.1853
37,202.45,46.48,1,1,0.1114
37,159.94,52.71,1,1,0.0
37,155.16,45.33,1,1,0.0081
38,366.4,47.7,0,1,0.432
38,307.2,51.76,1,1,0.2701
38,205.28,47.62,0,1,0.1095
38,158.04,51.43,1,1,0.0
38,152.66,45.72,1,1,0.0
39,364.92,43.46,0,1,0.4645
39,254.72,47.04,1,1,0.2241
39,205.28,47.87,0,1,0.1079
39,159.94,52.71,1,1,0.0
39,153.82,45.72,1,1,0.0032
40,332.37,52.59,0,1,0.3287
40,254.85,45.17,1,1,0.2366
40,205.54,44.11,1,1,0.1372
40,154.38,49.32,1,0,0.0251
40,152.52,45.43,1,0,0.0032
41,322.78,52.97,0,1,0.3046
41,267.81,53.07,1,1,0.2007
41,205.1,46.26,0,1,0.1191
41,158.02,51.72,1,1,0.0
41,152.52,45.43,1,1,0.0
42,294.32,69.78,1,1,0.1444
42,158.02,51.72,1,1,0.0
42,154.38,49.32,1,1,0.0
42,153.14,46.74,0,1,0.006
42,151.2,45.07,0,0,0.0009
43,158.12,50.87,1,1,0.0013
43,210.92,51.71,1,1,0.0949
43,178.18,50.46,1,1,0.0353
43,155.68,45.94,1,1,0.0083
43,153.84,45.33,0,1,0.0075
44,345.11,49.57,0,1,0.4013
44,267.18,53.93,0,1,0.207
44,216.48,50.38,1,1,0.1155
44,158.7,52.61,1,1,0.0
44,152.66,45.72,1,1,0.0024
45,451.29,40.46,1,1,0.648
45,359.76,43.16,1,1,0.4842
45,252.64,44.08,0,1,0.2324
45,189.07,37.11,0,1,0.1763
45,156.02,49.19,0,1,0.0129
46,561.72,53.73,0,1,0.8102
46,385.39,53.26,1,1,0.4211
46,263.73,51.95,0,1,0.2057
46,205.84,49.9,1,1,0.0987
46,160.5,46.57,1,1,0.0441
47,141.44,45.49,0,0,0.0535
47,242.9,38.88,1,1,0.2546
47,191.2,40.6,1,1,0.1496
47,140.18,44.35,0,0,0.0665
47,140.25,41.0,0,0,0.1018
48,171.52,55.8,1,0,0.0008
48,149.59,49.34,0,1,0.007
48,159.9,52.32,1,1,0.0046
48,161.81,50.2,1,1,0.0184
48,136.72,41.74,0,0,0.0971
49,203.16,42.75,1,1,0.1502
49,137.24,37.8,0,0,0.1351
49,170.35,55.77,1,1,0.0008
49,156.05,51.07,1,1,0.0
49,156.31,52.61,0,0,0.0065
50,193.07,56.45,1,1,0.0472
50,263.73,51.95,0,1,0.2147
50,210.93,49.93,1,1,0.1216
50,159.63,51.67,0,1,0.0071
50,163.49,49.84,1,1,0.0242
51,454.8,47.31,0,1,0.6474
51,346.69,49.44,1,1,0.4357
51,257.76,47.26,1,1,0.232
51,235.44,51.47,1,1,0.1549
51,160.18,46.97,0,1,0.0417
52,247.3,44.9,1,1,0.2305
52,193.89,39.17,1,1,0.1658
52,163.76,43.17,1,1,0.0776
52,144.23,49.31,1,0,0.0047
52,159.22,53.05,0,0,0.0017
53,219.22,51.86,1,1,0.1209
53,146.54,50.57,1,0,0.001
53,156.05,51.07,1,1,0.0
53,156.63,51.88,1,0,0.0
53,144.23,49.31,1,1,0.0
54,382.43,50.11,0,1,0.4888
54,142.12,37.04,1,0,0.1228
54,264.1,49.89,1,1,0.2275
54,205.91,44.37,1,1,0.152
54,142.5,35.78,1,0,0.137
55,438.29,39.9,1,1,0.6768
55,296.74,40.7,1,1,0.3611
55,205.73,42.55,1,1,0.167
55,141.33,49.25,0,0,0.0113
55,137.06,42.48,0,0,0.0629
56,520.4,48.87,0,1,0.7879
56,369.22,69.95,0,1,0.311
56,157.26,52.88,1,0,0.0001
56,143.24,48.36,1,0,0.0
56,143.42,51.18,1,0,0.0098
57,450.12,47.21,0,1,0.6517
57,365.24,58.4,1,1,0.3943
57,264.11,52.99,0,1,0.2103
57,218.67,50.08,1,1,0.1397
57,160.68,46.46,1,1,0.0511
58,382.8,60.52,0,1,0.4123
58,320.24,53.61,1,1,0.3534
58,263.73,51.95,0,1,0.2147
58,197.36,50.31,0,1,0.0958
58,136.79,43.0,0,0,0.0581
59,205.89,47.04,1,1,0.1367
59,176.53,48.29,1,1,0.0728
59,169.51,55.41,1,1,0.0005
59,156.17,51.08,1,1,0.0174
59,143.42,51.18,1,1,0.0
60,511.17,54.0,0,1,0.7432
60,386.56,59.95,0,1,0.4189
60,322.9,52.52,0,1,0.3667
60,206.21,52.64,1,1,0.1045
60,147.67,43.32,1,1,0.0535
61,453.32,43.5,0,1,0.684
61,365.24,50.23,0,1,0.468
61,311.23,45.48,1,1,0.3696
61,205.47,46.88,0,1,0.1369
61,147.85,42.91,1,1,0.0484
62,449.75,46.92,0,1,0.65
62,303.02,48.44,0,1,0.3337
62,197.62,46.01,1,1,0.128
62,141.51,51.09,0,0,0.0053
62,137.08,38.93,1,0,0.0109
63,169.51,55.41,1,1,0.0005
63,166.3,54.56,1,0,0.0012
63,157.99,52.95,1,0,0.0
63,142.25,50.41,1,1,0.0054
63,137.08,38.93,1,1,0.0
64,206.02,48.02,1,1,0.1304
64,254.35,51.32,0,1,0.2033
64,157.99,52.95,1,1,0.0
64,143.42,51.18,1,1,0.0
64,137.08,38.93,1,1,0.0
65,164.92,53.93,1,1,0.0002
65,157.99,52.95,1,1,0.0
65,142.25,50.41,1,1,0.0054
65,141.67,39.65,1,0,0.002
65,137.08,38.93,1,1,0.0
66,391.32,50.9,0,1,0.5054
66,205.52,49.17,0,1,0.1213
66,160.43,53.6,1,0,0.0001
66,142.53,51.44,1,0,0.0045
66,137.08,38.93,1,1,0.0
67,206.02,52.45,1,1,0.1049
67,145.84,51.53,1,1,0.0095
67,142.81,40.3,1,1,0.0065
67,160.43,53.6,1,1,0.0
67,137.08,40.43,0,0,0.0001
68,143.12,53.58,1,0,0.0002
68,144.23,48.98,1,1,0.0231
68,192.53,33.53,1,1,0.1614
68,143.43,53.96,0,0,0.0046
68,137.11,39.72,1,1,0.008
69,312.58,53.47,0,1,0.3456
69,261.94,56.91,1,1,0.2028
69,206.02,50.74,1,1,0.113
69,142.63,44.3,1,1,0.0385
69,139.55,39.41,1,1,0.0087
70,373.46,47.69,0,1,0.5087
70,264.98,51.96,0,1,0.2377
70,145.78,40.48,1,1,0.0116
70,140.77,40.46,1,1,0.0015
70,137.08,38.62,1,1,0.002
71,142.64,51.44,1,1,0.004
71,143.02,52.71,1,1,0.0088
