PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,GWP,28day
97.301,1.318,109.157,683.623,843.85,96.954,0.524,0.653,3.616,10.795,136.12,43.76
97.301,1.318,109.157,683.623,843.85,96.954,0.523,0.653,3.616,12.101,136.12,43.76
122.455,74.482,265.26,659.324,999.506,173.998,0.365,2.76,2.435,3.222,228.2,65.07
97.308,36.579,236.958,657.328,996.763,136.636,0.574,2.476,3.206,3.257,181.93,53.56
97.741,28.671,152.674,668.872,1004.425,105.164,0.652,0.936,3.604,7.452,157.6,53.43
104.918,70.175,262.897,659.337,999.101,173.334,0.376,2.506,2.688,4.226,207.79,60.89
97.301,23.074,265.209,698.808,1034.029,120.845,0.687,0.001,3.723,12.55,185.2,56.9
98.136,17.888,262.705,656.817,998.272,138.142,0.642,0.769,3.701,6.234,183.47,54.93
100.344,84.354,239.565,662.474,996.057,142.543,0.252,2.501,2.441,4.857,201.48,59.83
100.877,6.377,134.098,651.757,1004.686,92.337,0.682,1.421,3.238,6.72,148.62,50.92
98.247,27.815,287.661,657.154,997.672,137.268,0.624,0.56,3.611,9.345,193.43,58.82
100.268,79.836,241.268,662.674,996.059,142.211,0.325,2.281,2.972,6.438,200.37,59.28
97.5,0.0,110.2,676.962,984.254,117.737,0.662,1.587,3.537,5.03,136.67,46.8
120.207,75.032,265.235,659.406,999.106,173.793,0.405,2.77,3.405,3.303,226.02,64.82
100.868,5.273,134.098,651.765,1004.682,92.337,0.682,1.652,3.288,6.604,148.25,50.38
97.651,55.356,261.546,666.694,1018.122,128.17,0.857,0.089,3.61,9.018,195.04,58.87
98.051,25.329,265.209,706.279,1000.642,114.198,0.635,0.557,3.88,10.873,186.62,58.38
107.757,68.614,279.794,661.776,996.211,173.062,0.275,3.241,1.173,0.939,214.71,61.84
105.007,74.351,265.216,659.281,999.512,172.031,0.392,2.856,2.435,4.264,209.86,61.24
100.759,5.759,132.3,653.7,1005.2,90.8,0.517,2.1,3.793,7.6,147.83,48.94
97.612,0.687,125.004,673.73,983.554,113.668,0.683,0.931,3.586,13.29,140.91,47.58
108.363,69.919,278.205,662.257,996.358,173.332,0.263,2.714,0.702,3.025,215.35,63.19
112.334,70.794,277.563,664.02,998.099,173.193,0.367,3.645,3.606,3.081,219.64,64.8
100.6,2.761,132.3,653.554,1005.2,90.8,0.5,2.099,3.823,7.5,146.68,48.08
97.5,0.0,110.2,655.128,959.564,118.026,0.62,1.6,3.538,5.202,136.53,45.46
108.363,72.643,278.61,662.113,996.358,173.596,0.382,2.714,1.389,3.02,216.35,64.6
97.729,28.057,152.114,651.584,1004.425,106.374,0.652,0.964,3.604,7.383,157.19,52.79
97.303,26.193,146.518,654.876,960.627,94.382,0.585,2.27,3.769,10.085,154.5,51.47
108.486,70.266,279.823,661.825,996.358,173.974,0.308,2.748,2.099,1.387,216.02,63.31
97.5,0.0,110.2,655.305,984.0,118.026,0.657,1.896,3.538,5.162,136.62,46.16
97.617,4.405,131.212,673.899,982.906,111.567,0.644,0.914,3.509,9.0,143.78,47.93
98.051,23.074,265.209,707.025,1034.029,120.845,0.687,0.662,3.723,11.925,186.01,57.66
109.769,66.567,268.5,660.912,1000.333,168.93,0.211,2.584,2.298,3.245,213.18,61.45
97.365,21.831,159.123,651.457,1002.814,106.134,0.668,0.939,3.674,8.19,156.61,52.18
100.6,2.81,132.308,682.547,1005.2,90.8,0.504,2.099,3.824,7.399,146.77,48.93
97.301,26.32,148.603,651.39,959.824,90.775,0.635,1.587,3.674,8.995,155.08,52.09
97.617,1.214,128.053,673.899,983.493,111.257,0.641,0.914,3.509,9.0,141.9,47.84
97.301,1.321,109.157,678.595,925.039,96.954,0.522,0.642,3.616,10.766,136.41,44.59
97.301,1.321,109.157,678.612,939.797,99.286,0.524,0.642,3.344,10.772,136.46,44.65
97.549,1.318,109.157,683.623,843.945,96.954,0.536,1.385,3.616,10.59,136.38,43.77
112.283,70.794,276.456,664.148,997.512,173.185,0.368,3.655,2.98,3.081,219.3,64.68
98.051,24.557,265.209,707.025,1034.029,120.569,0.635,0.662,3.723,11.925,186.49,57.94
100.079,84.373,240.292,662.508,996.057,142.543,0.251,2.499,2.946,4.831,201.4,59.82
97.301,24.222,258.053,656.869,1002.844,141.664,0.624,0.275,3.666,9.36,183.46,54.28
97.301,24.222,254.254,656.897,1022.372,141.664,0.624,0.229,3.665,9.265,182.53,54.04
108.363,73.19,278.719,662.113,996.358,173.556,0.382,2.714,1.389,3.025,216.56,64.64
97.301,26.243,147.603,654.876,960.627,94.382,0.587,2.271,3.769,9.943,154.8,51.5
108.423,72.477,271.098,685.644,996.358,173.548,0.318,2.873,0.267,3.08,214.44,61.47
97.729,28.671,152.674,670.324,1004.425,106.406,0.652,0.964,3.604,7.209,157.59,53.4
97.303,26.193,146.518,654.876,960.627,94.382,0.585,2.27,3.769,10.085,154.5,51.47
