PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,GWP,28day
181.435,19.439,275.941,809.247,974.097,133.297,1.356,0.718,6.648,0.003,275.08,96.11
97.301,0.566,148.208,746.914,540.677,173.417,0.784,3.683,3.882,13.438,145.23,50.97
109.298,39.863,311.39,709.782,986.241,127.876,1.183,0.811,6.326,0.131,215.32,85.28
109.218,44.19,291.674,720.833,982.099,127.88,1.21,0.66,6.641,0.189,211.46,77.9
168.762,11.963,279.824,811.272,953.772,129.38,1.374,1.171,6.418,0.055,260.3,92.25
138.94,13.75,307.479,805.29,980.045,128.775,1.29,1.049,6.379,0.02,237.01,90.4
144.498,13.776,322.634,805.156,981.838,128.789,1.373,0.804,6.386,0.002,246.85,91.26
109.298,39.383,311.759,709.804,985.536,127.876,1.205,0.807,6.688,1.318,215.26,84.52
97.301,0.0,198.506,549.997,842.106,131.534,0.72,0.713,6.656,0.033,158.92,58.34
138.94,13.75,307.479,805.29,980.045,128.775,1.29,1.049,6.379,0.02,237.01,90.4
109.716,26.738,266.863,604.4,979.127,131.217,1.247,0.485,6.499,2.281,199.4,72.91
97.301,0.0,180.15,547.648,843.249,131.479,0.696,0.773,6.557,0.03,154.07,56.65
171.914,11.558,279.605,809.618,954.771,133.203,1.396,0.694,6.403,0.022,263.41,93.53
97.301,10.296,159.883,722.983,537.501,180.448,0.854,3.624,2.525,15.585,151.43,53.71
97.758,37.566,271.798,634.477,960.687,132.631,1.415,1.019,7.229,3.37,191.73,71.94
97.301,0.0,170.969,552.346,843.249,131.809,0.696,0.773,6.555,0.031,151.66,56.38
97.301,13.054,262.234,601.97,927.9,127.875,1.305,0.71,6.422,3.354,180.48,66.18
97.301,25.287,224.172,517.962,844.275,131.917,0.868,1.013,6.584,0.049,173.92,65.85
97.301,13.426,263.541,600.048,978.517,127.757,1.273,1.008,6.49,3.005,181.13,67.19
97.301,0.3,209.24,521.316,842.657,127.425,0.892,1.008,6.558,0.044,161.78,59.52
97.301,0.0,225.867,517.809,842.657,127.85,0.899,1.013,6.566,0.034,166.06,61.33
97.301,7.267,206.954,553.956,839.184,126.461,0.842,1.104,6.563,0.034,163.54,60.11
97.301,15.12,279.799,535.802,970.927,130.115,1.237,0.887,6.496,2.245,185.78,69.35
176.004,19.354,274.505,809.247,974.07,133.282,1.356,0.715,6.649,0.0,268.98,95.19
97.301,30.565,269.66,635.764,961.077,132.018,1.425,1.024,7.616,3.599,188.4,70.27
97.301,13.814,222.728,514.802,846.968,121.562,0.856,0.925,6.601,0.0,169.77,62.18
181.435,19.159,274.449,809.247,986.638,133.295,1.356,0.716,6.685,0.003,274.64,95.93
144.699,13.776,307.479,804.55,980.358,128.766,1.369,1.106,6.381,0.0,243.06,90.95
97.301,0.0,158.616,724.318,529.602,180.519,0.854,3.448,2.55,15.345,147.69,52.63
138.94,13.75,307.479,805.29,980.57,128.775,1.292,1.049,6.38,0.001,237.02,90.59
108.885,38.498,292.409,719.38,984.976,127.658,1.129,0.707,6.683,0.143,209.45,77.15
108.978,33.938,290.821,709.173,984.146,127.876,1.204,0.66,6.685,0.189,207.6,76.6
97.307,13.814,223.409,514.802,845.196,121.562,0.856,1.009,6.602,0.0,169.95,64.1
97.301,19.909,224.172,517.962,844.275,131.937,0.842,1.013,6.584,0.047,172.15,65.39
108.738,25.733,292.677,617.975,982.495,127.981,1.189,0.635,6.562,0.63,204.91,74.52
97.301,13.621,275.677,600.048,978.66,127.757,1.273,1.008,6.49,2.952,184.4,68.35
98.867,0.0,158.064,722.983,536.927,183.001,0.85,3.471,1.863,15.585,149.21,53.27
97.552,1.659,148.208,759.761,517.332,175.607,0.806,3.624,3.919,12.961,145.79,51.79
107.593,33.338,290.821,709.438,984.146,127.876,1.225,0.663,6.685,0.141,205.95,75.73
109.884,25.082,276.5,605.277,985.081,128.569,0.881,0.489,6.523,0.225,201.6,73.92
176.428,11.558,279.605,806.103,950.999,133.203,1.362,0.694,6.399,0.024,268.12,93.81
97.301,2.81,234.551,473.453,872.961,127.92,1.404,1.04,6.978,0.0,169.28,61.42
109.298,39.383,311.759,709.804,985.536,127.876,1.205,0.807,6.688,1.318,215.26,84.52
97.301,4.214,236.865,473.453,870.691,127.907,1.394,1.041,6.99,0.0,170.34,64.56
109.884,25.082,276.3,602.958,985.081,128.683,0.879,0.489,6.523,0.225,201.54,73.49
144.806,13.776,307.479,805.355,980.808,128.768,1.373,0.802,6.351,0.0,243.17,91.13
108.899,25.475,292.677,619.34,982.495,127.921,1.188,0.625,6.562,0.0,204.99,75.23
97.301,32.178,272.054,635.764,961.077,132.018,1.385,1.01,7.46,3.367,189.56,71.02
97.301,25.571,261.127,597.222,970.556,127.744,1.227,1.026,6.419,3.578,184.44,68.52
177.262,14.329,275.161,805.516,961.887,127.564,1.354,0.718,5.737,0.007,268.77,94.87
