PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,GWP,28day
97.301,0.0,110.457,707.009,788.02,117.727,0.0,2.07,0.575,1.011,135.89,43.19
109.447,44.438,291.717,724.227,929.802,117.952,0.551,4.128,4.981,13.089,211.61,66.47
98.607,0.002,192.073,714.134,880.565,116.741,0.092,3.094,2.389,4.663,159.16,52.72
101.942,54.777,268.208,725.995,931.89,116.714,0.685,4.053,5.45,13.094,200.94,66.12
98.944,26.852,220.196,726.228,876.98,94.877,0.128,4.397,7.486,20.819,175.77,57.1
98.137,1.722,227.321,705.233,845.523,116.155,0.113,3.342,1.581,4.175,168.39,56.53
97.301,0.0,172.242,695.117,883.488,101.561,0.072,3.151,1.181,0.089,152.52,52.1
97.753,0.0,110.349,671.984,978.151,116.718,0.106,3.319,1.722,7.366,136.94,47.42
98.161,0.473,146.319,725.699,887.523,93.683,0.0,2.628,1.571,6.79,146.83,49.21
99.919,0.475,118.658,665.665,962.597,117.153,0.181,2.853,1.575,6.311,141.49,47.73
97.301,1.547,224.952,717.448,852.148,116.174,0.033,3.285,1.846,3.19,166.88,55.48
97.301,41.744,268.362,725.181,926.278,115.733,0.198,4.11,4.824,12.77,191.82,62.67
97.301,0.0,166.295,701.536,888.705,100.221,0.103,3.192,1.668,6.593,150.99,50.37
98.199,1.549,202.099,717.305,890.427,116.635,0.093,3.363,1.752,7.622,161.93,53.2
99.428,1.634,208.954,700.49,895.499,116.731,0.094,3.323,2.038,11.958,165.04,54.79
97.301,38.035,268.439,725.165,926.117,115.696,0.197,4.054,4.832,12.778,190.63,61.23
100.52,38.344,268.439,724.546,926.117,115.696,0.186,3.934,4.801,13.423,194.1,63.02
101.789,50.708,268.843,726.019,925.633,117.606,0.68,4.076,5.45,13.386,199.59,65.1
97.301,0.0,110.9,670.4,977.9,116.7,0.2,3.0,1.6,7.4,136.61,46.77
97.301,38.301,268.544,724.48,926.117,115.696,0.195,4.205,4.771,13.247,190.74,61.99
98.252,2.471,131.146,673.009,975.566,117.353,0.196,2.743,1.306,6.911,143.76,48.85
99.127,29.649,249.341,725.364,936.732,108.204,0.115,4.397,5.869,21.249,184.79,58.79
99.044,36.261,227.011,725.723,931.981,98.273,0.121,4.697,6.554,17.328,180.96,58.29
99.03,36.337,233.536,725.723,932.04,105.175,0.121,4.709,6.403,17.191,182.69,58.56
97.857,44.828,272.926,724.163,930.87,117.601,0.31,4.208,4.435,13.256,194.64,63.7
97.301,0.0,168.395,700.919,889.886,100.774,0.104,3.176,1.85,6.006,151.54,51.6
98.907,29.376,225.307,726.827,935.194,103.267,0.115,4.388,6.378,20.731,178.12,57.62
100.618,45.129,267.27,724.571,919.191,117.189,0.566,3.987,4.836,11.418,196.09,64.06
99.108,29.556,229.719,725.22,936.732,103.696,0.115,4.395,6.375,21.397,179.56,57.81
98.138,1.129,224.707,716.636,839.379,116.214,0.096,3.49,1.514,5.471,167.51,56.17
98.161,0.473,147.426,724.858,887.45,93.683,0.0,2.634,1.571,6.79,147.12,50.07
97.301,0.0,110.5,670.9,947.6,98.5,0.1,2.1,1.6,1.0,136.39,45.56
97.301,0.0,166.768,701.748,881.837,100.994,0.103,3.277,1.665,0.0,151.09,50.9
97.335,0.173,110.202,679.973,868.625,103.801,0.062,1.948,0.974,0.0,136.14,44.42
97.613,31.729,263.141,723.48,930.98,112.095,0.252,4.154,3.59,12.711,187.5,59.23
98.1,0.0,130.5,661.2,975.9,116.8,0.2,2.7,1.6,7.1,142.59,47.91
98.199,8.833,202.099,717.305,888.364,117.18,0.093,3.362,1.752,7.622,164.32,54.23
97.301,0.164,110.202,679.973,863.372,103.801,0.062,1.948,0.994,0.0,136.08,44.26
98.2,0.0,130.6,671.0,977.9,117.3,0.2,2.9,1.4,7.2,142.75,48.71
97.698,30.87,266.802,723.48,930.753,117.722,0.297,4.154,2.617,12.362,188.27,60.84
97.301,0.008,110.349,671.984,963.962,116.694,0.087,2.95,1.722,7.366,136.42,45.75
101.96,53.402,265.487,725.95,931.894,117.606,0.569,4.073,5.476,13.386,199.79,65.52
97.7,31.729,263.141,723.48,930.988,117.722,0.293,4.154,3.406,12.711,187.59,60.27
98.951,27.561,220.114,726.743,935.186,95.531,0.128,4.372,7.554,20.561,176.2,57.22
98.199,1.553,205.165,695.736,886.516,116.631,0.093,3.337,1.752,7.622,162.67,53.69
100.717,48.798,267.262,724.57,919.191,117.158,0.566,3.987,4.836,11.418,197.4,64.41
98.155,2.144,208.726,714.894,816.738,117.682,0.001,3.381,1.686,5.403,163.55,53.92
100.717,48.798,267.262,724.57,919.191,117.158,0.566,3.987,4.836,11.418,197.4,64.41
101.942,53.402,268.208,726.019,931.89,117.606,0.685,4.076,5.45,13.386,200.49,66.09
97.7,31.676,261.139,723.735,927.433,117.722,0.276,4.162,2.616,12.778,187.03,58.95
