PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,GWP,28day
97.819,33.166,175.906,788.978,952.902,114.451,0.8,3.464,4.995,0.0,165.41,54.29
155.804,40.797,291.109,795.934,935.181,128.053,0.81,4.461,2.544,0.0,259.05,92.21
135.89,53.458,286.386,797.072,930.865,126.958,0.809,4.315,2.351,0.001,241.07,91.08
141.299,51.792,293.831,795.378,935.632,127.743,0.804,4.709,2.544,0.024,248.17,91.22
109.642,53.978,287.213,796.545,931.285,127.132,0.809,4.441,2.544,0.0,213.95,81.55
121.746,53.458,286.41,797.072,930.852,126.977,0.809,4.307,2.351,0.0,226.25,90.92
109.505,52.314,290.551,786.333,949.549,125.221,0.809,4.56,2.546,0.0,214.18,87.63
106.363,53.583,280.474,796.596,933.327,127.224,0.825,4.464,2.528,0.0,208.61,78.35
101.167,66.865,261.259,804.339,825.298,128.087,0.815,4.351,2.404,0.003,202.07,76.07
101.167,66.865,258.425,804.339,822.697,127.534,0.815,4.346,3.004,0.003,201.31,74.69
97.301,32.584,179.716,789.016,950.0,114.0,0.849,3.409,5.259,0.0,165.67,55.78
101.752,61.778,260.277,799.94,879.715,128.034,0.881,4.346,2.482,0.0,200.95,71.36
111.99,63.372,288.382,795.562,928.992,128.105,0.809,4.498,2.41,0.076,219.79,90.54
97.301,35.0,180.0,788.4,950.4,114.1,0.8,3.4,5.3,0.1,166.54,57.59
97.755,74.827,239.207,740.943,930.409,106.573,0.806,4.358,2.437,0.0,195.51,70.1
121.288,53.453,286.41,797.072,930.852,126.98,0.809,4.307,2.351,0.0,225.77,90.75
109.429,53.503,295.47,795.384,929.61,127.239,0.809,4.45,2.546,0.009,215.74,89.0
97.728,74.248,238.161,783.783,925.824,125.594,0.806,4.359,2.449,0.0,195.11,69.19
97.64,47.168,221.269,805.486,955.467,101.484,0.8,4.328,2.637,13.169,181.84,65.67
105.841,53.537,285.792,796.069,931.467,121.392,0.792,4.441,2.564,0.758,209.45,79.2
109.275,55.17,298.399,795.327,929.619,127.56,0.809,4.436,2.546,0.0,216.9,89.64
97.625,44.729,249.257,802.159,982.508,100.368,0.801,4.354,4.799,13.337,188.51,66.32
97.64,42.135,215.369,806.157,992.066,101.484,0.8,4.301,2.635,13.263,178.77,64.98
101.183,61.257,259.819,804.88,904.544,127.524,0.882,4.368,2.217,0.0,200.16,70.19
97.755,74.827,226.403,740.943,929.75,108.61,0.806,4.194,2.439,0.0,192.13,68.74
97.301,45.196,208.846,807.568,962.998,95.0,0.799,4.178,2.499,12.645,177.59,63.9
97.301,36.765,185.0,790.4,994.7,114.4,0.8,3.8,4.9,0.0,168.61,58.65
97.733,38.278,186.465,790.068,1000.006,113.804,0.833,3.925,5.055,0.068,169.96,59.65
97.301,42.949,206.282,806.059,988.937,101.239,0.8,4.197,2.675,12.438,176.27,62.94
111.811,61.216,288.074,794.92,927.998,127.683,0.82,4.498,2.41,0.072,218.81,90.25
97.305,42.323,206.586,807.686,988.937,101.239,0.722,3.778,2.676,12.547,176.16,61.76
108.869,53.68,292.769,785.799,929.612,124.439,0.809,4.56,2.511,0.0,214.47,87.78
106.184,54.201,283.864,796.209,932.448,127.93,0.791,4.434,2.567,0.0,209.52,80.52
97.64,62.867,214.349,806.155,991.117,101.484,0.8,4.3,2.609,13.264,185.3,65.75
97.64,42.816,221.269,784.439,955.467,101.484,0.799,4.325,2.637,12.985,180.36,65.14
97.641,62.867,233.048,805.704,990.914,101.561,0.8,4.302,2.611,13.257,190.23,67.93
97.7,37.577,200.96,739.031,1026.81,115.6,0.8,3.923,6.55,0.086,173.49,60.99
97.628,35.0,180.222,790.0,950.0,114.041,0.8,3.364,4.9,0.0,166.94,58.35
97.7,37.577,195.6,790.455,998.241,115.114,0.787,3.9,6.55,2.275,172.1,60.51
97.64,62.867,216.881,806.155,991.117,101.484,0.8,4.3,2.609,13.264,185.97,65.94
98.324,38.549,199.361,809.54,1018.634,115.815,0.835,3.923,5.868,0.878,174.19,61.72
101.167,66.865,260.046,804.339,822.697,128.33,0.815,4.346,2.404,0.003,201.74,75.74
106.323,53.624,291.305,796.596,932.776,127.132,0.844,4.44,2.565,0.0,211.44,81.31
97.755,74.827,223.954,740.943,929.75,106.573,0.806,4.358,2.439,0.0,191.48,68.32
106.184,54.201,287.931,796.209,932.448,127.931,0.791,4.434,2.567,0.0,210.59,80.69
98.256,37.4,184.5,790.362,985.7,114.4,0.8,3.9,5.3,0.1,169.65,59.39
97.301,44.274,208.846,807.491,989.096,95.0,0.799,4.178,2.499,12.645,177.39,63.37
97.64,56.541,237.067,785.784,993.93,103.328,0.801,3.537,2.178,13.878,189.18,67.34
97.795,57.298,233.983,799.331,948.75,101.561,0.8,4.29,2.611,12.868,188.64,67.23
108.274,53.978,287.213,796.445,934.527,127.132,0.809,4.441,2.544,0.0,212.53,81.5
