gen,llm_gwp,llm_str,is_feasible,is_dominated,min_dist_to_front
34,172.91,53.53,1,1,0.0
34,185.74,53.39,1,1,0.0331
35,198.27,57.77,1,1,0.0541
35,215.46,57.56,1,1,0.1
35,198.37,54.65,0,1,0.0593
35,182.39,54.93,0,1,0.016
35,173.74,54.08,1,1,0.0009
36,184.94,54.71,0,1,0.0272
36,179.06,54.25,0,1,0.0121
36,176.07,53.31,1,1,0.009
36,195.47,52.75,0,1,0.0601
36,173.64,53.95,0,1,0.0016
37,188.99,55.26,1,1,0.0366
37,187.76,54.87,0,1,0.035
37,168.47,53.61,1,0,0.0099
37,185.65,54.57,1,1,0.0292
37,183.97,54.24,1,1,0.025
38,176.71,55.56,1,1,0.0028
38,176.71,55.56,1,1,0.0028
38,176.71,55.56,1,1,0.0028
38,176.71,55.56,1,1,0.0028
38,176.71,55.56,1,1,0.0028
39,165.86,51.08,0,0,0.0178
39,205.38,49.22,1,1,0.1033
39,169.19,52.68,0,1,0.0037
39,195.04,55.16,0,1,0.0519
39,176.95,54.6,1,1,0.0054
40,178.3,56.65,1,1,0.0039
40,175.71,55.04,1,0,0.0046
40,167.86,52.59,1,1,0.0
40,177.99,57.54,1,0,0.0001
40,177.71,54.66,1,1,0.0074
41,187.0,54.57,0,1,0.0313
41,198.05,56.21,1,1,0.0566
41,174.97,54.23,1,1,0.003
41,175.71,56.41,0,0,0.0017
41,176.16,54.51,1,1,0.0037
42,208.54,53.09,0,1,0.0925
42,169.19,51.43,0,1,0.0137
42,176.71,54.6,1,1,0.0048
42,175.71,56.41,0,0,0.0017
42,176.03,55.38,1,1,0.0039
43,173.19,54.11,1,0,0.0006
43,172.79,53.53,1,1,0.0042
43,176.69,55.31,1,1,0.0041
43,177.8,56.17,1,1,0.0057
43,173.18,54.11,1,0,0.0006
44,175.18,54.59,1,1,0.001
44,197.93,53.58,0,1,0.0635
44,167.08,52.73,1,0,0.0024
44,175.71,56.41,0,0,0.0017
44,175.92,55.4,1,1,0.0042
45,175.71,55.15,1,0,0.0014
45,175.71,56.41,0,0,0.0017
45,171.15,52.62,0,1,0.0112
