PC,FA,SC,SF,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,TOTAL_BINDER,GWP,w/b,b/a,SCM%,CAGG%,FAGG%,7day,28day,56day,PC%,FA%,SC%,AEA_pct,WR_HR_pct,WR_pct,ACC_pct
106.794,71.196,177.99,0.0,741.625,1038.275,141.799,0.1483,1.6686,1.4461,0.0,355.98,188.032,0.3983341760773077,0.2,0.7,0.5833333333333334,0.41666666666666663,32.4364,44.1357,48.6736,0.3,0.19999999999999998,0.5,0.00041659643800096463,0.0046873419854916365,0.004062306871161126,0.0
106.794,71.196,177.99,0.0,741.625,1085.739,141.799,0.1483,1.6686,1.4461,0.0,355.98,188.207,0.3983341760773077,0.19480519480519481,0.7,0.5941558441558442,0.40584415584415584,31.7498,46.1528,50.2226,0.3,0.19999999999999998,0.5,0.00041659643800096463,0.0046873419854916365,0.004062306871161126,0.0
106.794,71.196,177.99,0.0,741.625,1085.739,142.392,0.4079,0.0,0.6674,0.0,355.98,188.207,0.39999999999999997,0.19480519480519481,0.7,0.5941558441558442,0.40584415584415584,31.2803,44.4608,49.0123,0.3,0.19999999999999998,0.5,0.0011458508904962474,0.0,0.001874824428333404,0.0
106.794,71.196,177.99,0.0,759.424,1085.739,126.966,0.3337,0.0,0.6674,0.0,355.98,188.253,0.3566661048373504,0.19292604501607719,0.7,0.5884244372990354,0.4115755627009646,30.2048,42.7418,45.6343,0.3,0.19999999999999998,0.5,0.000937412214166702,0.0,0.001874824428333404,0.0
106.794,71.196,177.99,0.0,759.424,1085.739,141.205,0.1854,0.0,0.6674,0.0,355.98,188.253,0.3966655430080342,0.19292604501607719,0.7,0.5884244372990354,0.4115755627009646,31.1991,49.137,56.0451,0.3,0.19999999999999998,0.5,0.0005208157761657374,0.0,0.001874824428333404,0.0
106.794,106.794,142.392,0.0,662.123,1168.801,109.167,0.0148,0.1854,0.0,0.0,355.98,190.586,0.3066661048373504,0.1944264207580435,0.7,0.638366748155576,0.36163325184442396,28.7167,52.2278,57.4678,0.3,0.3,0.39999999999999997,4.157536940265864e-05,0.0005208157761657374,0.0,0.0
106.794,106.794,142.392,0.0,662.123,1168.801,143.579,0.0334,0.0,1.1124,0.0,355.98,190.586,0.40333445699196585,0.1944264207580435,0.7,0.638366748155576,0.36163325184442396,31.3603,48.5497,52.2735,0.3,0.3,0.39999999999999997,9.382549581410802e-05,0.0,0.003124894656994424,0.0
106.794,106.794,142.392,0.0,662.123,1168.801,143.579,0.0334,1.1124,0.0,0.0,355.98,190.586,0.40333445699196585,0.1944264207580435,0.7,0.638366748155576,0.36163325184442396,28.8775,45.4405,48.1948,0.3,0.3,0.39999999999999997,9.382549581410802e-05,0.003124894656994424,0.0,0.0
106.794,106.794,142.392,0.0,662.123,1168.801,143.579,0.0556,1.1124,0.0,0.0,355.98,190.586,0.40333445699196585,0.1944264207580435,0.7,0.638366748155576,0.36163325184442396,27.5864,44.9779,51.8758,0.3,0.3,0.39999999999999997,0.00015618854991809598,0.003124894656994424,0.0,0.0
106.794,106.794,142.392,0.0,753.491,1082.772,124.0,0.5562,0.0,1.7057,0.0,355.98,190.505,0.3483341760773077,0.1938611190227108,0.7,0.5896606314019288,0.4103393685980712,30.6702,47.6658,,0.3,0.3,0.39999999999999997,0.001562447328497212,0.0,0.004791561323656409,0.0
106.794,106.794,142.392,0.0,753.491,1082.772,124.593,0.5562,0.0,1.7057,0.0,355.98,190.505,0.35,0.1938611190227108,0.7,0.5896606314019288,0.4103393685980712,32.6219,50.5109,60.3679,0.3,0.3,0.39999999999999997,0.001562447328497212,0.0,0.004791561323656409,0.0
106.794,106.794,142.392,0.0,753.491,1143.882,118.66,0.5562,0.0,0.6674,0.0,355.98,190.731,0.3333333333333333,0.1876173003410505,0.7,0.6028767142781098,0.3971232857218902,37.7833,56.8978,58.0355,0.3,0.3,0.39999999999999997,0.001562447328497212,0.0,0.001874824428333404,0.0
106.794,106.794,142.392,0.0,783.156,1053.108,124.0,0.5191,1.3349,2.0394,0.0,355.98,190.473,0.3483341760773077,0.19386101344904658,0.7,0.5735057704120976,0.4264942295879024,42.9418,61.0124,,0.3,0.3,0.39999999999999997,0.0014582279903324394,0.003749929771324934,0.005728973537823111,0.0
111.54,110.947,148.325,0.0,750.525,1067.94,135.272,0.3152,0.0,1.9282,0.0,370.812,198.345,0.3647994131797245,0.20391484026362894,0.6992006731173748,0.5872755318359165,0.4127244681640834,35.5411,52.9496,66.8247,0.3007993268826252,0.299200133760504,0.4000005393568708,0.0008500264284843801,0.0,0.005199939592016439,0.0
115.694,0.0,269.952,0.0,679.329,1109.471,154.258,0.3634,0.0,1.854,0.0,385.646,198.386,0.3999989627793365,0.21558922182468696,0.6999994813896682,0.6202319991055456,0.37976800089445434,41.0238,52.5668,,0.3000005186103317,0.0,0.6999994813896682,0.0009423149727964446,0.0,0.004807517775356655,0.0
115.694,0.0,269.952,0.0,729.759,1097.605,141.205,0.1224,0.0,3.8563,0.0,385.646,198.473,0.3661518594773445,0.21103950827530804,0.6999994813896682,0.6006493506493507,0.39935064935064934,51.8201,61.1541,,0.3000005186103317,0.0,0.6999994813896682,0.00031738952303325484,0.0,0.009999585111708667,0.0
115.694,0.0,269.952,0.0,741.625,1097.605,143.579,0.1112,0.0,1.2978,0.1112,385.646,198.504,0.3723077641152767,0.20967796306062864,0.6999994813896682,0.5967741935483871,0.4032258064516129,35.8528,51.0614,57.8298,0.3000005186103317,0.0,0.6999994813896682,0.0002883473444550485,0.0,0.0033652624427496585,0.0002883473444550485
115.694,0.0,293.684,0.0,741.625,1097.605,143.579,0.1112,0.5562,1.2978,0.0,409.37800000000004,204.769,0.3507247580475746,0.22258118886708025,0.7173907733195237,0.5967741935483871,0.4032258064516129,41.179,54.7731,58.7692,0.2826092266804762,0.0,0.7173907733195237,0.00027163159720289894,0.0013586465320526294,0.0031701752414561354,0.0
115.694,77.129,192.823,0.0,706.027,1029.376,145.359,0.2225,0.0,1.7057,0.0,385.646,203.095,0.3769233960678965,0.2222227344311379,0.6999994813896682,0.5931625103794335,0.40683748962056654,33.3997,52.9862,56.5059,0.3000005186103317,0.19999948138966825,0.5,0.0005769539940759739,0.0,0.004422968214361298,0.0
117.473,117.473,156.631,0.0,676.955,1038.275,148.325,0.0,0.0,1.4832,0.0,391.577,208.595,0.37878884612732616,0.22829416463098243,0.7000002553776141,0.6053269823872017,0.3946730176127983,30.4748,49.3205,56.9162,0.2999997446223859,0.2999997446223859,0.40000051075522824,0.0,0.0,0.0037877607724565343,0.0
117.473,117.473,156.631,0.0,797.988,919.615,147.732,0.1854,0.0,2.0394,0.0,391.577,208.471,0.3772744568756592,0.2279787587702164,0.7000002553776141,0.5354060280518839,0.4645939719481161,32.6741,49.6704,58.4935,0.2999997446223859,0.2999997446223859,0.40000051075522824,0.0004734700965570668,0.0,0.0052081710621277345,0.0
118.66,59.33,326.315,0.0,747.558,830.62,185.11,0.0,0.0,1.9282,0.0,504.305,234.98,0.3670596167002112,0.31954887218045114,0.7647058823529411,0.5263157894736843,0.4736842105263158,59.0191,72.0617,77.8924,0.23529411764705882,0.11764705882352941,0.6470588235294118,0.0,0.0,0.0038234798385821606,0.0
121.033,121.033,161.378,0.0,602.2,1168.801,156.631,0.0408,1.5129,0.0,0.0,403.44399999999996,215.035,0.3882347983858975,0.22780563082686003,0.7000004957317497,0.6599663128366386,0.3400336871633613,31.4401,49.0907,56.5715,0.2999995042682504,0.2999995042682504,0.40000099146349927,0.00010112927692541934,0.003749962820109483,0.0,0.0
124.593,103.828,186.89,0.0,759.424,949.28,145.359,0.3708,0.0,2.0394,0.0,415.311,219.455,0.3500003611751194,0.24305614079442664,0.7000007223502387,0.5555555555555556,0.4444444444444444,36.8525,52.584,,0.2999992776497613,0.2500006019585323,0.45000012039170645,0.0008928248950764782,0.0,0.00491053692292063,0.0
133.492,133.492,177.99,0.0,824.687,978.945,158.411,0.0,0.7045,0.7787,0.0,444.974,236.441,0.3560005753145128,0.2467099718789642,0.700000449464463,0.5427631578947368,0.45723684210526316,33.8817,67.1698,73.5264,0.2999995505355369,0.2999995505355369,0.4000008989289262,0.0,0.0015832385712388067,0.0017499898870456476,0.0
138.239,138.239,183.923,0.0,726.792,949.28,153.071,0.1446,0.7898,1.2199,0.0,460.401,244.175,0.33247321356817205,0.2746904667579913,0.6997421812724126,0.5663718503739695,0.43362814962603036,50.2085,68.5818,73.7931,0.3002578187275875,0.3002578187275875,0.39948436254482506,0.00031407403545971,0.001715461087178969,0.002649646721004842,0.0
138.239,138.239,183.923,0.0,812.821,949.873,148.325,0.0,0.864,1.8688,0.0,460.401,244.4,0.3221648085038911,0.261191675923331,0.6997421812724126,0.5388757209135562,0.4611242790864438,55.82,70.1611,75.716,0.3002578187275875,0.3002578187275875,0.39948436254482506,0.0,0.0018766249421659019,0.004059070245277358,0.0
142.392,0.0,332.248,0.0,830.62,978.945,156.631,0.0,0.0,3.708,0.0,474.64,242.722,0.3299995786280128,0.2622950819672131,0.7,0.5409836065573771,0.45901639344262296,52.5013,68.9067,70.7219,0.3,0.0,0.7,0.0,0.0,0.007812236642491548,0.0
145.952,0.0,97.301,0.0,901.816,1038.275,148.325,0.1224,0.3041,0.0,0.0,243.253,184.831,0.6097560975609756,0.12538226299694188,0.3999991778107567,0.5351681957186545,0.4648318042813456,13.5482,24.7637,,0.6000008221892433,0.0,0.3999991778107567,0.000503179816896387,0.0012501387444296675,0.0,0.0
